"","GS-10-0-","GS-10-0.2-","GS-10-0.5-","GS-10-0.8-","GS-10-1-","GS-20-0-","GS-20-0.2-","GS-20-0.5-","GS-20-0.8-","GS-20-1-","GS-30-0-","GS-30-0.2-","GS-30-0.5-","GS-30-0.8-","GS-30-1-","GS-40-0-","GS-40-0.2-","GS-40-0.5-","GS-40-0.8-","GS-40-1-","GS-50-0-","GS-50-0.2-","GS-50-0.5-","GS-50-0.8-","GS-50-1-","GS-100-0-","GS-100-0.2-","GS-100-0.5-","GS-100-0.8-","GS-100-1-","GS-200-0-","GS-200-0.2-","GS-200-0.5-","GS-200-0.8-","GS-200-1-","GS-300-0-","GS-300-0.2-","GS-300-0.5-","GS-300-0.8-","GS-300-1-","GS-400-0-","GS-400-0.2-","GS-400-0.5-","GS-400-0.8-","GS-400-1-","GS-500-0-","GS-500-0.2-","GS-500-0.5-","GS-500-0.8-","GS-500-1-"
"ssGSEA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASMINE",15,13,2,4,1,26,14,8,3,4,44,31,10,5,4,61,41,20,3,2,74,61,29,6,2,99,90,50,11,2,100,100,82,16,3,100,100,91,22,9,100,100,97,20,5,100,100,99,28,15
"AUCell",13,13,5,1,1,18,11,9,2,1,41,26,8,4,4,39,26,10,6,5,62,42,12,5,0,93,73,35,6,2,100,96,62,9,1,100,100,77,15,5,100,100,99,12,1,100,100,99,24,11
"UCell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"scPS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCSE",6,4,1,3,0,1,3,1,0,0,3,3,3,2,1,5,4,4,2,1,10,3,7,0,2,20,9,5,3,0,36,28,8,1,0,77,51,14,4,0,91,62,24,0,2,100,76,25,3,1
"AddModuleScore",6,4,1,1,0,2,3,2,0,0,3,3,5,2,0,6,4,6,4,2,12,3,7,0,2,24,10,7,3,1,46,30,9,1,0,81,57,16,4,0,95,66,27,0,1,100,78,25,2,1
"ssGSEA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASMINE1",12,5,3,0,0,35,16,7,6,6,51,36,14,2,1,75,52,20,0,2,88,67,15,1,5,98,97,57,3,6,100,100,86,9,10,100,100,93,19,8,100,100,99,20,12,100,100,99,22,17
"AUCell1",21,11,11,2,0,35,19,9,7,4,59,36,12,3,1,73,49,17,1,1,72,51,12,2,4,97,83,39,4,4,100,100,77,8,8,100,100,89,11,6,100,100,96,17,7,100,100,99,15,12
"UCell1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"scPS1",9,7,7,1,1,15,9,6,2,4,24,15,9,1,2,26,22,17,3,0,38,35,9,0,1,61,44,21,8,0,92,83,41,9,1,100,90,56,11,1,100,99,72,18,2,100,100,88,8,3
