"","GS-10-0-","GS-10-0.2-","GS-10-0.5-","GS-10-0.8-","GS-10-1-","GS-20-0-","GS-20-0.2-","GS-20-0.5-","GS-20-0.8-","GS-20-1-","GS-30-0-","GS-30-0.2-","GS-30-0.5-","GS-30-0.8-","GS-30-1-","GS-40-0-","GS-40-0.2-","GS-40-0.5-","GS-40-0.8-","GS-40-1-","GS-50-0-","GS-50-0.2-","GS-50-0.5-","GS-50-0.8-","GS-50-1-","GS-100-0-","GS-100-0.2-","GS-100-0.5-","GS-100-0.8-","GS-100-1-","GS-200-0-","GS-200-0.2-","GS-200-0.5-","GS-200-0.8-","GS-200-1-","GS-300-0-","GS-300-0.2-","GS-300-0.5-","GS-300-0.8-","GS-300-1-","GS-400-0-","GS-400-0.2-","GS-400-0.5-","GS-400-0.8-","GS-400-1-","GS-500-0-","GS-500-0.2-","GS-500-0.5-","GS-500-0.8-","GS-500-1-"
"ssGSEA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASMINE",16,13,5,6,1,44,35,13,6,3,57,46,19,9,1,78,69,25,10,2,89,74,36,7,4,100,97,63,10,3,100,100,96,25,6,100,100,100,39,4,100,100,100,51,5,100,100,100,51,16
"AUCell",16,14,5,6,1,42,33,13,4,3,48,38,20,7,1,67,51,18,4,1,84,65,29,4,4,99,84,36,7,1,100,100,83,20,0,100,100,95,27,1,100,100,100,31,3,100,100,100,28,8
"UCell",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"scPS",10,9,3,4,1,14,11,8,1,1,9,5,6,3,1,14,10,6,1,1,23,12,9,3,1,41,20,8,3,0,59,38,17,2,0,85,53,17,5,0,99,67,21,3,0,100,87,23,1,0
"SCSE",9,7,1,3,1,11,9,7,1,2,6,6,6,4,1,12,12,4,2,2,22,12,8,3,1,43,20,7,2,0,65,44,22,3,0,93,66,24,8,0,100,85,38,4,1,100,97,34,6,3
"AddModuleScore",8,7,1,5,0,12,9,7,1,3,5,6,7,3,1,11,10,4,2,2,23,12,8,3,2,46,21,7,2,0,69,48,21,3,0,97,67,26,6,0,100,86,35,5,1,100,97,37,6,3
"ssGSEA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASMINE1",29,27,7,5,1,47,27,9,7,2,74,60,29,6,4,75,66,32,9,7,89,72,35,6,6,100,98,64,14,3,100,100,94,21,10,100,100,99,25,6,100,100,99,35,9,100,100,100,57,13
"AUCell1",29,27,10,4,1,37,26,13,6,0,54,46,20,6,3,63,47,22,2,7,80,54,17,9,5,98,85,37,9,3,100,100,80,15,6,100,100,87,17,4,100,100,99,16,5,100,100,100,28,6
"UCell1",1,3,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"scPS1",19,15,8,4,0,21,10,10,3,1,20,16,16,2,2,26,17,9,2,0,22,22,10,2,0,51,30,19,3,1,76,61,32,5,3,97,81,34,6,0,100,90,47,5,0,100,93,54,8,0
"SCSE1",14,11,5,2,0,13,10,6,2,0,10,11,9,1,1,14,10,3,2,1,15,13,5,1,1,40,23,10,3,1,67,51,20,2,1,94,74,25,3,2,100,88,36,2,2,100,98,49,2,1
"AddModuleScore1",17,14,7,5,0,19,10,6,2,2,13,12,10,2,1,21,13,6,2,0,21,17,9,2,1,41,25,11,3,2,71,58,26,5,2,97,81,40,4,2,100,93,50,3,2,100,99,58,2,2
"ssGSEA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASMINE2",26,20,6,5,4,49,37,19,4,4,68,52,24,7,2,81,71,23,9,4,93,75,37,9,2,100,99,67,15,0,100,100,97,22,9,100,100,100,38,7,100,100,100,48,8,100,100,100,50,14
"AUCell2",28,22,12,4,3,51,38,17,6,4,63,46,24,10,3,74,64,22,7,6,87,67,34,10,2,100,91,55,19,1,100,100,85,19,5,100,100,100,31,4,100,100,100,35,6,100,100,100,36,6
"UCell2",16,13,8,4,3,19,15,11,3,2,27,17,12,4,1,26,19,12,3,3,34,22,12,2,2,41,28,12,11,3,65,48,21,9,4,89,63,35,13,1,96,78,40,8,4,100,92,40,14,2
"scPS2",20,17,9,7,3,28,24,16,7,3,36,28,19,5,2,54,38,20,7,4,54,48,27,9,4,86,67,37,20,6,99,93,66,23,4,100,98,86,38,4,100,100,97,42,6,100,100,97,40,5
