"","count","geneset","methods"
"1",0,"GS-10-0-","ssGSEA"
"2",16,"GS-10-0-","JASMINE"
"3",16,"GS-10-0-","AUCell"
"4",2,"GS-10-0-","UCell"
"5",10,"GS-10-0-","scPS"
"6",9,"GS-10-0-","SCSE"
"7",8,"GS-10-0-","AddModuleScore"
"8",0,"GS-10-0-","ssGSEA1"
"9",29,"GS-10-0-","JASMINE1"
"10",29,"GS-10-0-","AUCell1"
"11",1,"GS-10-0-","UCell1"
"12",19,"GS-10-0-","scPS1"
"13",14,"GS-10-0-","SCSE1"
"14",17,"GS-10-0-","AddModuleScore1"
"15",0,"GS-10-0-","ssGSEA2"
"16",26,"GS-10-0-","JASMINE2"
"17",28,"GS-10-0-","AUCell2"
"18",16,"GS-10-0-","UCell2"
"19",20,"GS-10-0-","scPS2"
"20",13,"GS-10-0-","SCSE2"
"21",16,"GS-10-0-","AddModuleScore2"
"22",0,"GS-10-0-","ssGSEA3"
"23",14,"GS-10-0-","JASMINE3"
"24",20,"GS-10-0-","AUCell3"
"25",2,"GS-10-0-","UCell3"
"26",13,"GS-10-0-","scPS3"
"27",12,"GS-10-0-","SCSE3"
"28",14,"GS-10-0-","AddModuleScore3"
"29",0,"GS-10-0-","ssGSEA4"
"30",18,"GS-10-0-","JASMINE4"
"31",24,"GS-10-0-","AUCell4"
"32",2,"GS-10-0-","UCell4"
"33",11,"GS-10-0-","scPS4"
"34",9,"GS-10-0-","SCSE4"
"35",7,"GS-10-0-","AddModuleScore4"
"36",0,"GS-10-0-","ssGSEA5"
"37",13,"GS-10-0-","JASMINE5"
"38",11,"GS-10-0-","AUCell5"
"39",0,"GS-10-0-","UCell5"
"40",2,"GS-10-0-","scPS5"
"41",3,"GS-10-0-","SCSE5"
"42",5,"GS-10-0-","AddModuleScore5"
"43",0,"GS-10-0-","ssGSEA6"
"44",12,"GS-10-0-","JASMINE6"
"45",18,"GS-10-0-","AUCell6"
"46",0,"GS-10-0-","UCell6"
"47",2,"GS-10-0-","scPS6"
"48",3,"GS-10-0-","SCSE6"
"49",1,"GS-10-0-","AddModuleScore6"
"50",0,"GS-10-0-","ssGSEA7"
"51",15,"GS-10-0-","JASMINE7"
"52",20,"GS-10-0-","AUCell7"
"53",1,"GS-10-0-","UCell7"
"54",10,"GS-10-0-","scPS7"
"55",9,"GS-10-0-","SCSE7"
"56",10,"GS-10-0-","AddModuleScore7"
"57",0,"GS-10-0-","ssGSEA8"
"58",20,"GS-10-0-","JASMINE8"
"59",18,"GS-10-0-","AUCell8"
"60",1,"GS-10-0-","UCell8"
"61",8,"GS-10-0-","scPS8"
"62",10,"GS-10-0-","SCSE8"
"63",11,"GS-10-0-","AddModuleScore8"
"64",0,"GS-10-0-","ssGSEA9"
"65",12,"GS-10-0-","JASMINE9"
"66",14,"GS-10-0-","AUCell9"
"67",1,"GS-10-0-","UCell9"
"68",3,"GS-10-0-","scPS9"
"69",4,"GS-10-0-","SCSE9"
"70",4,"GS-10-0-","AddModuleScore9"
"71",0,"GS-10-0.2-","ssGSEA"
"72",13,"GS-10-0.2-","JASMINE"
"73",14,"GS-10-0.2-","AUCell"
"74",2,"GS-10-0.2-","UCell"
"75",9,"GS-10-0.2-","scPS"
"76",7,"GS-10-0.2-","SCSE"
"77",7,"GS-10-0.2-","AddModuleScore"
"78",0,"GS-10-0.2-","ssGSEA1"
"79",27,"GS-10-0.2-","JASMINE1"
"80",27,"GS-10-0.2-","AUCell1"
"81",3,"GS-10-0.2-","UCell1"
"82",15,"GS-10-0.2-","scPS1"
"83",11,"GS-10-0.2-","SCSE1"
"84",14,"GS-10-0.2-","AddModuleScore1"
"85",0,"GS-10-0.2-","ssGSEA2"
"86",20,"GS-10-0.2-","JASMINE2"
