"","count","geneset","methods"
"1",0,"GS-10-0-","ssGSEA"
"2",48,"GS-10-0-","JASMINE"
"3",76,"GS-10-0-","AUCell"
"4",0,"GS-10-0-","UCell"
"5",7,"GS-10-0-","scPS"
"6",7,"GS-10-0-","SCSE"
"7",7,"GS-10-0-","AddModuleScore"
"8",0,"GS-10-0-","ssGSEA1"
"9",43,"GS-10-0-","JASMINE1"
"10",76,"GS-10-0-","AUCell1"
"11",8,"GS-10-0-","UCell1"
"12",13,"GS-10-0-","scPS1"
"13",6,"GS-10-0-","SCSE1"
"14",11,"GS-10-0-","AddModuleScore1"
"15",0,"GS-10-0-","ssGSEA2"
"16",45,"GS-10-0-","JASMINE2"
"17",72,"GS-10-0-","AUCell2"
"18",0,"GS-10-0-","UCell2"
"19",14,"GS-10-0-","scPS2"
"20",11,"GS-10-0-","SCSE2"
"21",13,"GS-10-0-","AddModuleScore2"
"22",0,"GS-10-0-","ssGSEA3"
"23",36,"GS-10-0-","JASMINE3"
"24",62,"GS-10-0-","AUCell3"
"25",0,"GS-10-0-","UCell3"
"26",2,"GS-10-0-","scPS3"
"27",7,"GS-10-0-","SCSE3"
"28",8,"GS-10-0-","AddModuleScore3"
"29",0,"GS-10-0-","ssGSEA4"
"30",33,"GS-10-0-","JASMINE4"
"31",60,"GS-10-0-","AUCell4"
"32",0,"GS-10-0-","UCell4"
"33",4,"GS-10-0-","scPS4"
"34",8,"GS-10-0-","SCSE4"
"35",8,"GS-10-0-","AddModuleScore4"
"36",0,"GS-10-0-","ssGSEA5"
"37",38,"GS-10-0-","JASMINE5"
"38",52,"GS-10-0-","AUCell5"
"39",0,"GS-10-0-","UCell5"
"40",5,"GS-10-0-","scPS5"
"41",4,"GS-10-0-","SCSE5"
"42",5,"GS-10-0-","AddModuleScore5"
"43",0,"GS-10-0-","ssGSEA6"
"44",52,"GS-10-0-","JASMINE6"
"45",69,"GS-10-0-","AUCell6"
"46",0,"GS-10-0-","UCell6"
"47",5,"GS-10-0-","scPS6"
"48",8,"GS-10-0-","SCSE6"
"49",10,"GS-10-0-","AddModuleScore6"
"50",0,"GS-10-0-","ssGSEA7"
"51",36,"GS-10-0-","JASMINE7"
"52",56,"GS-10-0-","AUCell7"
"53",0,"GS-10-0-","UCell7"
"54",6,"GS-10-0-","scPS7"
"55",3,"GS-10-0-","SCSE7"
"56",3,"GS-10-0-","AddModuleScore7"
"57",0,"GS-10-0-","ssGSEA8"
"58",42,"GS-10-0-","JASMINE8"
"59",52,"GS-10-0-","AUCell8"
"60",0,"GS-10-0-","UCell8"
"61",3,"GS-10-0-","scPS8"
"62",4,"GS-10-0-","SCSE8"
"63",4,"GS-10-0-","AddModuleScore8"
"64",0,"GS-10-0-","ssGSEA9"
"65",31,"GS-10-0-","JASMINE9"
"66",59,"GS-10-0-","AUCell9"
"67",0,"GS-10-0-","UCell9"
"68",3,"GS-10-0-","scPS9"
"69",3,"GS-10-0-","SCSE9"
"70",2,"GS-10-0-","AddModuleScore9"
"71",0,"GS-10-0.2-","ssGSEA"
"72",37,"GS-10-0.2-","JASMINE"
"73",58,"GS-10-0.2-","AUCell"
"74",0,"GS-10-0.2-","UCell"
"75",8,"GS-10-0.2-","scPS"
"76",8,"GS-10-0.2-","SCSE"
"77",7,"GS-10-0.2-","AddModuleScore"
"78",0,"GS-10-0.2-","ssGSEA1"
"79",34,"GS-10-0.2-","JASMINE1"
"80",59,"GS-10-0.2-","AUCell1"
"81",7,"GS-10-0.2-","UCell1"
"82",9,"GS-10-0.2-","scPS1"
"83",6,"GS-10-0.2-","SCSE1"
"84",9,"GS-10-0.2-","AddModuleScore1"
"85",0,"GS-10-0.2-","ssGSEA2"
"86",33,"GS-10-0.2-","JASMINE2"
"87",55,"GS-10-0.2-","AUCell2"
"88",0,"GS-10-0.2-","UCell2"
"89",15,"GS-10-0.2-","scPS2"
"90",10,"GS-10-0.2-","SCSE2"
"91",9,"GS-10-0.2-","AddModuleScore2"
"92",0,"GS-10-0.2-","ssGSEA3"
"93",25,"GS-10-0.2-","JASMINE3"
"94",45,"GS-10-0.2-","AUCell3"
"95",0,"GS-10-0.2-","UCell3"
"96",4,"GS-10-0.2-","scPS3"
"97",8,"GS-10-0.2-","SCSE3"
"98",4,"GS-10-0.2-","AddModuleScore3"
"99",0,"GS-10-0.2-","ssGSEA4"
"100",24,"GS-10-0.2-","JASMINE4"
"101",42,"GS-10-0.2-","AUCell4"
"102",0,"GS-10-0.2-","UCell4"
"103",1,"GS-10-0.2-","scPS4"
"104",5,"GS-10-0.2-","SCSE4"
"105",7,"GS-10-0.2-","AddModuleScore4"
"106",0,"GS-10-0.2-","ssGSEA5"
"107",25,"GS-10-0.2-","JASMINE5"
"108",37,"GS-10-0.2-","AUCell5"
"109",0,"GS-10-0.2-","UCell5"
"110",4,"GS-10-0.2-","scPS5"
"111",5,"GS-10-0.2-","SCSE5"
"112",7,"GS-10-0.2-","AddModuleScore5"
"113",0,"GS-10-0.2-","ssGSEA6"
"114",38,"GS-10-0.2-","JASMINE6"
"115",51,"GS-10-0.2-","AUCell6"
"116",0,"GS-10-0.2-","UCell6"
"117",3,"GS-10-0.2-","scPS6"
"118",2,"GS-10-0.2-","SCSE6"
"119",4,"GS-10-0.2-","AddModuleScore6"
"120",0,"GS-10-0.2-","ssGSEA7"
"121",25,"GS-10-0.2-","JASMINE7"
"122",42,"GS-10-0.2-","AUCell7"
"123",0,"GS-10-0.2-","UCell7"
"124",2,"GS-10-0.2-","scPS7"
"125",0,"GS-10-0.2-","SCSE7"
"126",1,"GS-10-0.2-","AddModuleScore7"
"127",0,"GS-10-0.2-","ssGSEA8"
"128",29,"GS-10-0.2-","JASMINE8"
"129",41,"GS-10-0.2-","AUCell8"
"130",0,"GS-10-0.2-","UCell8"
"131",5,"GS-10-0.2-","scPS8"
"132",5,"GS-10-0.2-","SCSE8"
"133",3,"GS-10-0.2-","AddModuleScore8"
"134",0,"GS-10-0.2-","ssGSEA9"
"135",18,"GS-10-0.2-","JASMINE9"
"136",34,"GS-10-0.2-","AUCell9"
"137",0,"GS-10-0.2-","UCell9"
"138",2,"GS-10-0.2-","scPS9"
"139",2,"GS-10-0.2-","SCSE9"
"140",3,"GS-10-0.2-","AddModuleScore9"
"141",0,"GS-10-0.5-","ssGSEA"
"142",18,"GS-10-0.5-","JASMINE"
"143",23,"GS-10-0.5-","AUCell"
"144",0,"GS-10-0.5-","UCell"
"145",5,"GS-10-0.5-","scPS"
"146",6,"GS-10-0.5-","SCSE"
"147",7,"GS-10-0.5-","AddModuleScore"
"148",0,"GS-10-0.5-","ssGSEA1"
"149",18,"GS-10-0.5-","JASMINE1"
"150",28,"GS-10-0.5-","AUCell1"
"151",2,"GS-10-0.5-","UCell1"
"152",5,"GS-10-0.5-","scPS1"
"153",3,"GS-10-0.5-","SCSE1"
"154",4,"GS-10-0.5-","AddModuleScore1"
"155",0,"GS-10-0.5-","ssGSEA2"
"156",18,"GS-10-0.5-","JASMINE2"
"157",31,"GS-10-0.5-","AUCell2"
"158",0,"GS-10-0.5-","UCell2"
"159",5,"GS-10-0.5-","scPS2"
"160",3,"GS-10-0.5-","SCSE2"
"161",3,"GS-10-0.5-","AddModuleScore2"
"162",0,"GS-10-0.5-","ssGSEA3"
"163",8,"GS-10-0.5-","JASMINE3"
"164",19,"GS-10-0.5-","AUCell3"
"165",0,"GS-10-0.5-","UCell3"
"166",0,"GS-10-0.5-","scPS3"
"167",3,"GS-10-0.5-","SCSE3"
"168",4,"GS-10-0.5-","AddModuleScore3"
"169",0,"GS-10-0.5-","ssGSEA4"
"170",18,"GS-10-0.5-","JASMINE4"
"171",30,"GS-10-0.5-","AUCell4"
"172",0,"GS-10-0.5-","UCell4"
"173",2,"GS-10-0.5-","scPS4"
"174",5,"GS-10-0.5-","SCSE4"
"175",3,"GS-10-0.5-","AddModuleScore4"
"176",0,"GS-10-0.5-","ssGSEA5"
"177",14,"GS-10-0.5-","JASMINE5"
"178",18,"GS-10-0.5-","AUCell5"
"179",0,"GS-10-0.5-","UCell5"
"180",2,"GS-10-0.5-","scPS5"
"181",4,"GS-10-0.5-","SCSE5"
"182",4,"GS-10-0.5-","AddModuleScore5"
"183",0,"GS-10-0.5-","ssGSEA6"
"184",15,"GS-10-0.5-","JASMINE6"
"185",28,"GS-10-0.5-","AUCell6"
"186",0,"GS-10-0.5-","UCell6"
"187",2,"GS-10-0.5-","scPS6"
"188",2,"GS-10-0.5-","SCSE6"
"189",4,"GS-10-0.5-","AddModuleScore6"
"190",0,"GS-10-0.5-","ssGSEA7"
"191",11,"GS-10-0.5-","JASMINE7"
"192",19,"GS-10-0.5-","AUCell7"
"193",0,"GS-10-0.5-","UCell7"
"194",5,"GS-10-0.5-","scPS7"
"195",0,"GS-10-0.5-","SCSE7"
"196",3,"GS-10-0.5-","AddModuleScore7"
"197",0,"GS-10-0.5-","ssGSEA8"
"198",11,"GS-10-0.5-","JASMINE8"
"199",20,"GS-10-0.5-","AUCell8"
"200",0,"GS-10-0.5-","UCell8"
"201",4,"GS-10-0.5-","scPS8"
"202",3,"GS-10-0.5-","SCSE8"
"203",4,"GS-10-0.5-","AddModuleScore8"
"204",0,"GS-10-0.5-","ssGSEA9"
"205",9,"GS-10-0.5-","JASMINE9"
"206",14,"GS-10-0.5-","AUCell9"
"207",0,"GS-10-0.5-","UCell9"
"208",1,"GS-10-0.5-","scPS9"
"209",1,"GS-10-0.5-","SCSE9"
"210",2,"GS-10-0.5-","AddModuleScore9"
"211",0,"GS-10-0.8-","ssGSEA"
"212",4,"GS-10-0.8-","JASMINE"
"213",9,"GS-10-0.8-","AUCell"
"214",0,"GS-10-0.8-","UCell"
"215",2,"GS-10-0.8-","scPS"
"216",4,"GS-10-0.8-","SCSE"
"217",3,"GS-10-0.8-","AddModuleScore"
"218",0,"GS-10-0.8-","ssGSEA1"
"219",5,"GS-10-0.8-","JASMINE1"
"220",7,"GS-10-0.8-","AUCell1"
"221",0,"GS-10-0.8-","UCell1"
"222",1,"GS-10-0.8-","scPS1"
"223",2,"GS-10-0.8-","SCSE1"
"224",1,"GS-10-0.8-","AddModuleScore1"
"225",0,"GS-10-0.8-","ssGSEA2"
"226",5,"GS-10-0.8-","JASMINE2"
"227",7,"GS-10-0.8-","AUCell2"
"228",0,"GS-10-0.8-","UCell2"
"229",3,"GS-10-0.8-","scPS2"
"230",2,"GS-10-0.8-","SCSE2"
"231",3,"GS-10-0.8-","AddModuleScore2"
"232",0,"GS-10-0.8-","ssGSEA3"
"233",4,"GS-10-0.8-","JASMINE3"
"234",6,"GS-10-0.8-","AUCell3"
"235",0,"GS-10-0.8-","UCell3"
"236",2,"GS-10-0.8-","scPS3"
"237",3,"GS-10-0.8-","SCSE3"
"238",2,"GS-10-0.8-","AddModuleScore3"
"239",0,"GS-10-0.8-","ssGSEA4"
"240",3,"GS-10-0.8-","JASMINE4"
"241",7,"GS-10-0.8-","AUCell4"
"242",0,"GS-10-0.8-","UCell4"
"243",0,"GS-10-0.8-","scPS4"
"244",0,"GS-10-0.8-","SCSE4"
"245",1,"GS-10-0.8-","AddModuleScore4"
"246",0,"GS-10-0.8-","ssGSEA5"
"247",6,"GS-10-0.8-","JASMINE5"
"248",8,"GS-10-0.8-","AUCell5"
"249",0,"GS-10-0.8-","UCell5"
"250",1,"GS-10-0.8-","scPS5"
"251",3,"GS-10-0.8-","SCSE5"
"252",4,"GS-10-0.8-","AddModuleScore5"
"253",0,"GS-10-0.8-","ssGSEA6"
"254",4,"GS-10-0.8-","JASMINE6"
"255",4,"GS-10-0.8-","AUCell6"
"256",0,"GS-10-0.8-","UCell6"
"257",0,"GS-10-0.8-","scPS6"
"258",1,"GS-10-0.8-","SCSE6"
"259",1,"GS-10-0.8-","AddModuleScore6"
"260",0,"GS-10-0.8-","ssGSEA7"
"261",2,"GS-10-0.8-","JASMINE7"
"262",7,"GS-10-0.8-","AUCell7"
"263",0,"GS-10-0.8-","UCell7"
"264",1,"GS-10-0.8-","scPS7"
"265",2,"GS-10-0.8-","SCSE7"
"266",3,"GS-10-0.8-","AddModuleScore7"
"267",0,"GS-10-0.8-","ssGSEA8"
"268",3,"GS-10-0.8-","JASMINE8"
"269",6,"GS-10-0.8-","AUCell8"
"270",0,"GS-10-0.8-","UCell8"
"271",0,"GS-10-0.8-","scPS8"
"272",0,"GS-10-0.8-","SCSE8"
"273",0,"GS-10-0.8-","AddModuleScore8"
