"","GS-10-0-","GS-10-0.2-","GS-10-0.5-","GS-10-0.8-","GS-10-1-","GS-20-0-","GS-20-0.2-","GS-20-0.5-","GS-20-0.8-","GS-20-1-","GS-30-0-","GS-30-0.2-","GS-30-0.5-","GS-30-0.8-","GS-30-1-","GS-40-0-","GS-40-0.2-","GS-40-0.5-","GS-40-0.8-","GS-40-1-","GS-50-0-","GS-50-0.2-","GS-50-0.5-","GS-50-0.8-","GS-50-1-","GS-100-0-","GS-100-0.2-","GS-100-0.5-","GS-100-0.8-","GS-100-1-","GS-200-0-","GS-200-0.2-","GS-200-0.5-","GS-200-0.8-","GS-200-1-","GS-300-0-","GS-300-0.2-","GS-300-0.5-","GS-300-0.8-","GS-300-1-","GS-400-0-","GS-400-0.2-","GS-400-0.5-","GS-400-0.8-","GS-400-1-","GS-500-0-","GS-500-0.2-","GS-500-0.5-","GS-500-0.8-","GS-500-1-"
"ssGSEA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASMINE",48,37,18,4,2,76,65,35,9,2,100,91,47,5,7,99,97,67,9,7,100,100,80,8,8,100,100,98,19,13,100,100,99,35,34,100,100,100,63,55,100,100,100,81,63,100,100,100,90,81
"AUCell",76,58,23,9,3,94,79,44,6,3,99,94,56,11,8,100,98,63,12,10,100,99,70,9,7,100,100,90,12,10,100,100,100,24,24,100,100,100,50,33,100,100,100,60,51,100,100,100,70,59
"UCell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"scPS",7,8,5,2,1,12,8,4,2,0,21,12,8,3,1,31,21,5,2,1,24,14,9,1,0,58,31,11,3,0,86,62,23,0,0,97,75,28,3,0,100,87,31,0,0,100,92,37,1,0
"SCSE",7,8,6,4,2,14,6,5,2,0,22,13,3,4,1,33,21,7,3,1,27,17,10,1,1,67,38,13,3,0,96,72,36,4,1,100,95,46,5,2,100,99,72,7,4,100,100,80,8,2
"AddModuleScore",7,7,7,3,1,12,6,4,2,0,20,13,4,3,1,28,20,7,2,1,25,17,11,0,1,65,39,13,0,0,96,71,35,3,2,100,96,47,4,3,100,99,71,4,4,100,100,78,8,2
"ssGSEA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"JASMINE1",43,34,18,5,6,85,77,35,7,5,97,88,63,15,8,100,99,74,13,12,100,100,80,25,4,100,100,98,38,17,100,100,100,51,41,100,100,100,65,57,100,100,100,83,77,100,100,100,88,82
"AUCell1",76,59,28,7,0,92,84,39,10,5,99,89,60,15,6,100,98,71,9,8,99,99,73,18,4,100,100,92,20,9,100,100,100,29,17,100,100,100,47,27,100,100,100,58,42,100,100,100,70,54
"UCell1",8,7,2,0,0,5,2,4,1,1,12,6,0,0,0,8,7,2,0,0,16,7,0,1,1,29,12,2,0,0,57,21,4,0,0,77,37,3,0,0,93,44,7,0,0,100,50,6,0,0
"scPS1",13,9,5,1,0,21,8,10,1,2,30,18,6,2,1,39,24,11,1,1,43,27,14,5,1,73,51,21,2,0,97,77,37,4,0,100,89,37,3,0,100,96,52,2,0,100,100,50,3,0
"SCSE1",6,6,3,2,0,19,8,10,1,2,25,14,3,0,0,39,21,10,1,2,45,24,14,3,0,75,50,20,2,3,100,89,41,3,0,100,99,54,3,7,100,100,77,3,8,100,100,85,6,4
"AddModuleScore1",11,9,4,1,0,21,10,10,3,2,30,14,4,1,3,42,23,13,0,2,43,28,12,5,1,78,57,23,2,3,100,91,48,3,0,100,99,59,2,7,100,100,77,3,10,100,100,91,8,5
