"","GS-10-0-","GS-10-0.2-","GS-10-0.5-","GS-10-0.8-","GS-10-1-","GS-20-0-","GS-20-0.2-","GS-20-0.5-","GS-20-0.8-","GS-20-1-","GS-30-0-","GS-30-0.2-","GS-30-0.5-","GS-30-0.8-","GS-30-1-","GS-40-0-","GS-40-0.2-","GS-40-0.5-","GS-40-0.8-","GS-40-1-","GS-50-0-","GS-50-0.2-","GS-50-0.5-","GS-50-0.8-","GS-50-1-","GS-100-0-","GS-100-0.2-","GS-100-0.5-","GS-100-0.8-","GS-100-1-","GS-200-0-","GS-200-0.2-","GS-200-0.5-","GS-200-0.8-","GS-200-1-","GS-300-0-","GS-300-0.2-","GS-300-0.5-","GS-300-0.8-","GS-300-1-","GS-400-0-","GS-400-0.2-","GS-400-0.5-","GS-400-0.8-","GS-400-1-","GS-500-0-","GS-500-0.2-","GS-500-0.5-","GS-500-0.8-","GS-500-1-"
"ssGSEA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASMINE",68,60,34,16,11,97,91,68,23,10,100,100,96,43,17,100,100,97,53,23,100,100,100,64,24,100,100,100,92,49,100,100,100,100,81,100,100,100,100,94,100,100,100,100,100,100,100,100,100,100
"AUCell",87,76,46,13,7,100,90,71,26,8,100,100,94,36,5,100,100,95,45,15,100,100,100,60,12,100,100,100,86,23,100,100,100,94,45,100,100,100,100,55,100,100,100,100,74,100,100,100,100,75
"UCell",53,42,27,7,2,90,68,39,11,4,99,95,53,15,3,99,96,66,10,3,100,93,65,9,1,100,99,70,9,1,100,100,95,15,1,100,100,97,21,1,100,100,100,21,0,100,100,100,26,0
"scPS",38,32,23,7,1,70,52,28,7,5,86,73,45,16,2,92,77,60,18,3,99,84,59,19,2,100,100,85,36,1,100,100,99,50,0,100,100,100,75,1,100,100,100,78,1,100,100,100,88,0
"SCSE",34,28,19,8,1,59,47,24,7,3,77,64,38,15,3,85,67,51,15,2,89,76,51,16,3,100,100,82,30,5,100,100,99,38,10,100,100,100,60,9,100,100,100,63,11,100,100,100,73,8
"AddModuleScore",31,22,18,8,3,50,35,18,5,3,72,59,37,13,3,82,65,46,16,2,88,74,49,17,3,100,100,81,29,5,100,100,99,38,9,100,100,100,60,11,100,100,100,63,12,100,100,100,75,8
"ssGSEA1",2,2,0,2,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,4,1,0,0,0,5,0,1,0,0,6,6,0,0,0,2,4,1,0,0
"JASMINE1",73,62,42,17,12,98,96,76,30,14,100,100,96,41,23,100,99,100,56,25,100,100,100,70,33,100,100,100,95,50,100,100,100,100,86,100,100,100,100,98,100,100,100,100,100,100,100,100,100,100
"AUCell1",83,73,55,18,5,99,98,84,37,7,100,100,95,36,8,100,100,98,46,8,100,100,100,61,13,100,100,100,89,24,100,100,100,100,53,100,100,100,100,65,100,100,100,100,86,100,100,100,100,82
