"","GS-10-0-","GS-10-0.2-","GS-10-0.5-","GS-10-0.8-","GS-10-1-","GS-20-0-","GS-20-0.2-","GS-20-0.5-","GS-20-0.8-","GS-20-1-","GS-30-0-","GS-30-0.2-","GS-30-0.5-","GS-30-0.8-","GS-30-1-","GS-40-0-","GS-40-0.2-","GS-40-0.5-","GS-40-0.8-","GS-40-1-","GS-50-0-","GS-50-0.2-","GS-50-0.5-","GS-50-0.8-","GS-50-1-","GS-100-0-","GS-100-0.2-","GS-100-0.5-","GS-100-0.8-","GS-100-1-","GS-200-0-","GS-200-0.2-","GS-200-0.5-","GS-200-0.8-","GS-200-1-","GS-300-0-","GS-300-0.2-","GS-300-0.5-","GS-300-0.8-","GS-300-1-","GS-400-0-","GS-400-0.2-","GS-400-0.5-","GS-400-0.8-","GS-400-1-","GS-500-0-","GS-500-0.2-","GS-500-0.5-","GS-500-0.8-","GS-500-1-"
"ssGSEA",9,9,7,8,8,5,3,4,3,5,2,4,6,3,3,0,0,2,8,5,1,2,4,3,7,3,3,4,11,15,6,5,7,10,16,8,9,6,10,11,14,21,14,16,17,27,16,12,10,18
"JASMINE",0,0,0,0,0,0,0,1,2,2,0,1,1,3,1,0,0,1,6,3,0,0,3,1,2,0,0,2,5,8,0,2,3,1,5,0,0,4,2,2,0,1,2,5,7,0,1,4,4,8
"AUCell",0,0,0,0,0,0,0,1,3,2,0,1,1,2,1,0,0,1,6,4,0,0,3,2,4,0,0,2,6,9,0,2,2,2,6,0,0,5,1,3,0,1,3,4,7,0,0,2,4,7
"UCell",0,0,1,0,0,0,0,1,2,2,0,1,1,2,1,0,0,1,6,4,0,0,3,2,4,0,0,2,6,9,0,1,2,2,8,0,1,4,1,3,0,0,2,2,6,0,0,0,1,6
"scPS",0,0,1,0,0,0,0,1,2,2,0,2,1,2,1,0,0,1,6,4,0,0,3,2,4,0,0,3,6,10,0,2,3,4,11,0,1,4,4,5,0,1,2,4,10,0,1,2,6,16
"SCSE",0,0,1,0,0,0,0,1,2,2,0,1,1,2,1,0,0,1,6,4,0,0,3,2,4,0,0,2,6,9,0,2,2,2,7,0,1,4,2,2,0,2,3,3,7,0,1,4,4,9
"AddModuleScore",0,0,1,1,1,0,0,1,2,2,0,1,1,2,1,0,0,1,7,4,0,0,3,2,4,0,0,2,6,10,1,2,2,2,6,0,1,4,1,3,0,2,3,3,7,0,1,4,4,8
"ssGSEA1",23,25,17,25,19,5,3,8,6,7,3,1,4,5,6,1,3,1,4,6,4,3,5,7,6,2,5,10,8,7,3,4,5,10,15,7,4,8,11,9,1,5,7,11,15,0,4,10,14,27
"JASMINE1",1,0,0,0,1,1,1,2,2,1,3,2,0,1,2,0,3,0,2,4,0,1,2,3,3,1,2,6,6,8,0,3,3,7,11,0,2,4,6,5,0,3,2,5,12,0,2,3,8,12
"AUCell1",0,0,0,0,1,0,0,3,1,2,0,1,1,2,3,0,1,1,1,4,0,1,3,4,4,0,2,6,5,7,0,3,6,9,13,0,1,4,6,4,0,1,1,5,8,0,1,6,9,10
"UCell1",0,0,1,0,1,0,0,2,2,1,0,0,0,1,2,0,1,1,1,4,0,2,2,5,5,0,2,7,7,7,1,3,3,8,15,0,2,5,9,7,0,1,4,7,14,0,2,4,9,18
"scPS1",0,0,2,0,1,0,0,3,1,1,0,0,0,1,2,1,2,1,1,4,0,3,2,4,5,0,2,7,8,9,1,3,3,8,17,0,2,6,13,9,0,3,5,9,17,0,5,5,15,28
"SCSE1",1,2,0,1,1,1,2,3,2,1,0,1,0,1,2,0,1,1,1,5,0,1,2,4,6,0,2,6,5,8,1,3,4,8,13,0,1,4,5,4,0,1,1,7,8,0,1,4,9,10
"AddModuleScore1",1,4,4,2,3,1,2,5,1,3,0,0,1,2,4,0,1,1,1,3,0,1,2,6,5,1,2,7,5,7,1,4,4,9,13,0,1,4,6,4,1,1,1,6,7,0,1,5,10,13
"ssGSEA2",2,1,8,7,11,2,3,2,2,3,0,0,3,0,1,1,0,1,2,6,0,2,0,2,3,0,1,3,5,6,2,4,3,8,17,0,4,7,7,15,0,2,8,21,12,0,3,4,9,18
"JASMINE2",0,0,1,1,2,0,0,1,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,2,1,0,1,4,2,5,0,2,2,4,12,0,1,2,1,8,0,1,6,11,7,0,0,4,5,9
"AUCell2",0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,2,2,0,1,4,3,5,0,4,3,5,14,0,2,5,3,10,0,2,7,8,6,0,2,3,3,11
"UCell2",0,0,1,3,2,0,1,1,0,0,0,1,1,1,0,3,5,2,2,3,1,4,1,3,2,1,4,7,9,7,3,8,9,9,17,5,11,13,10,15,2,12,17,25,18,0,7,20,16,25
