"","GS-10-0-","GS-10-0.2-","GS-10-0.5-","GS-10-0.8-","GS-10-1-","GS-20-0-","GS-20-0.2-","GS-20-0.5-","GS-20-0.8-","GS-20-1-","GS-30-0-","GS-30-0.2-","GS-30-0.5-","GS-30-0.8-","GS-30-1-","GS-40-0-","GS-40-0.2-","GS-40-0.5-","GS-40-0.8-","GS-40-1-","GS-50-0-","GS-50-0.2-","GS-50-0.5-","GS-50-0.8-","GS-50-1-","GS-100-0-","GS-100-0.2-","GS-100-0.5-","GS-100-0.8-","GS-100-1-","GS-200-0-","GS-200-0.2-","GS-200-0.5-","GS-200-0.8-","GS-200-1-","GS-300-0-","GS-300-0.2-","GS-300-0.5-","GS-300-0.8-","GS-300-1-","GS-400-0-","GS-400-0.2-","GS-400-0.5-","GS-400-0.8-","GS-400-1-","GS-500-0-","GS-500-0.2-","GS-500-0.5-","GS-500-0.8-","GS-500-1-"
"ssGSEA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASMINE",91,87,53,10,8,99,98,84,18,12,100,100,97,29,25,100,100,99,43,30,100,100,100,57,40,100,100,100,77,81,100,100,100,95,98,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100
"AUCell",23,17,12,6,4,37,32,16,9,18,60,52,23,4,22,75,62,20,11,36,77,70,36,13,40,98,93,70,15,58,100,100,99,23,84,100,100,100,40,97,100,100,100,48,100,100,100,100,63,100
"UCell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"scPS",58,50,37,12,1,63,67,48,17,2,67,70,68,15,4,65,66,55,34,1,68,70,75,38,2,68,71,81,47,0,73,67,86,64,2,73,62,85,77,1,83,65,85,85,0,81,81,86,80,0
"SCSE",10,10,8,2,2,12,11,3,4,3,28,20,7,6,7,18,23,7,4,2,43,29,15,6,5,60,50,20,7,3,92,78,53,4,8,99,92,66,13,12,100,97,82,12,18,100,100,91,18,21
"AddModuleScore",6,4,9,1,2,4,12,5,7,2,15,35,17,6,5,10,48,21,3,1,22,64,41,6,2,38,98,85,14,0,79,100,99,40,5,98,100,100,62,4,100,100,100,78,3,100,100,100,83,2
"ssGSEA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASMINE1",96,89,50,7,10,100,98,88,20,18,100,99,97,30,26,100,100,100,35,29,100,100,100,32,32,100,100,100,75,75,100,100,100,89,99,100,100,100,98,98,100,100,100,100,100,100,100,100,100,100
"AUCell1",27,24,12,1,9,42,27,11,3,10,52,52,18,5,16,66,57,32,7,35,74,58,35,9,37,96,90,70,16,55,100,100,94,18,88,100,100,100,36,99,100,100,100,48,98,100,100,100,61,100
"UCell1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"scPS1",58,49,34,13,5,70,73,50,16,3,79,74,72,32,0,61,77,74,30,4,75,77,80,37,1,84,80,84,59,3,79,85,93,74,0,90,86,97,87,2,94,91,92,89,0,96,97,93,92,0
"SCSE1",5,7,2,0,1,15,4,3,1,2,14,10,2,2,0,20,13,6,0,1,21,19,7,1,2,28,19,10,0,3,47,51,23,5,7,75,67,36,7,10,92,86,53,6,9,100,90,45,9,9
"AddModuleScore1",5,9,5,4,1,8,17,7,4,3,12,36,23,4,1,19,44,34,0,3,22,69,48,8,1,48,97,89,14,1,88,100,100,39,2,99,100,100,50,4,100,100,100,73,2,100,100,100,78,2
"ssGSEA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASMINE2",88,85,50,7,13,100,99,80,15,27,100,100,98,39,27,100,100,97,34,35,100,100,100,53,41,100,100,100,79,89,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"AUCell2",19,17,15,10,8,57,49,18,7,19,68,59,29,9,28,81,64,44,9,41,84,69,54,11,43,100,100,73,24,77,100,100,97,37,92,100,100,100,52,100,100,100,100,67,100,100,100,100,65,100
"UCell2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"scPS2",64,42,35,17,2,77,82,54,22,0,75,73,63,23,5,78,81,71,22,6,79,71,79,38,1,88,87,81,59,1,86,92,91,65,1,93,92,94,83,2,95,94,95,80,0,96,96,94,80,0
"SCSE2",6,3,4,3,1,16,14,6,4,1,26,21,11,0,2,37,28,10,2,5,34,26,21,1,2,67,52,20,6,7,87,73,46,11,10,97,94,69,7,8,100,95,79,15,17,100,99,87,13,27
"AddModuleScore2",1,7,6,4,2,3,8,9,6,2,6,31,27,2,2,16,50,26,2,4,12,65,45,4,1,42,100,87,17,1,85,100,100,40,2,99,100,100,68,2,100,100,100,75,3,100,100,100,86,2
"ssGSEA3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASMINE3",89,84,61,8,9,100,100,91,17,20,100,100,99,44,29,100,100,100,45,39,100,100,100,60,60,100,100,100,89,94,100,100,100,97,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"AUCell3",33,23,17,9,8,67,57,39,6,29,90,73,38,14,35,91,78,59,7,39,98,95,78,9,60,100,100,94,28,76,100,100,100,51,95,100,100,100,76,100,100,100,100,75,99,100,100,100,94,100
"UCell3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"scPS3",64,55,42,14,5,73,81,56,17,1,75,86,75,27,4,81,88,78,30,2,76,80,81,41,3,92,88,91,53,14,89,89,95,72,7,97,92,93,75,7,98,96,94,84,12,97,98,98,88,16
"SCSE3",32,22,24,5,5,65,60,32,6,1,91,78,44,13,4,92,82,45,10,4,97,92,63,12,10,100,100,86,22,25,100,100,100,37,27,100,100,100,56,50,100,100,100,69,64,100,100,100,77,83
"AddModuleScore3",4,5,4,4,2,7,15,16,4,1,7,49,29,6,2,19,58,43,8,0,22,89,66,5,0,65,100,97,25,6,99,100,100,62,2,100,100,100,81,0,100,100,100,90,2,100,100,100,94,3
"ssGSEA4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASMINE4",83,77,53,10,10,100,95,90,22,19,100,100,99,32,35,100,100,100,50,44,100,100,100,56,62,100,100,100,79,96,100,100,100,97,100,100,100,100,98,100,100,100,100,100,100,100,100,100,100,100
"AUCell4",29,23,18,7,7,59,39,28,8,21,74,67,34,4,22,85,69,48,8,32,91,87,52,12,42,100,98,84,17,68,100,100,99,32,93,100,100,100,53,97,100,100,100,76,100,100,100,100,77,100
"UCell4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"scPS4",58,49,34,14,3,69,70,53,10,3,75,81,60,26,3,65,86,76,19,3,79,81,77,36,4,84,88,84,40,4,85,77,90,62,7,89,82,91,67,9,88,84,90,76,13,74,85,83,70,8
"SCSE4",41,30,15,5,3,60,47,34,6,3,84,65,38,6,3,91,79,52,6,5,97,90,56,14,8,100,100,88,14,19,100,100,100,31,36,100,100,100,41,44,100,100,100,64,51,100,100,100,74,71
"AddModuleScore4",4,7,5,5,2,6,17,26,5,1,14,40,29,4,5,17,63,46,6,3,30,78,54,10,3,65,100,95,18,1,100,100,100,54,1,100,100,100,71,4,100,100,100,89,4,100,100,100,92,2
"ssGSEA5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
