"","count","geneset","methods"
"1",0,"GS-10-0-","ssGSEA"
"2",91,"GS-10-0-","JASMINE"
"3",23,"GS-10-0-","AUCell"
"4",0,"GS-10-0-","UCell"
"5",58,"GS-10-0-","scPS"
"6",10,"GS-10-0-","SCSE"
"7",6,"GS-10-0-","AddModuleScore"
"8",0,"GS-10-0-","ssGSEA1"
"9",96,"GS-10-0-","JASMINE1"
"10",27,"GS-10-0-","AUCell1"
"11",0,"GS-10-0-","UCell1"
"12",58,"GS-10-0-","scPS1"
"13",5,"GS-10-0-","SCSE1"
"14",5,"GS-10-0-","AddModuleScore1"
"15",0,"GS-10-0-","ssGSEA2"
"16",88,"GS-10-0-","JASMINE2"
"17",19,"GS-10-0-","AUCell2"
"18",0,"GS-10-0-","UCell2"
"19",64,"GS-10-0-","scPS2"
"20",6,"GS-10-0-","SCSE2"
"21",1,"GS-10-0-","AddModuleScore2"
"22",0,"GS-10-0-","ssGSEA3"
"23",89,"GS-10-0-","JASMINE3"
"24",33,"GS-10-0-","AUCell3"
"25",0,"GS-10-0-","UCell3"
"26",64,"GS-10-0-","scPS3"
"27",32,"GS-10-0-","SCSE3"
"28",4,"GS-10-0-","AddModuleScore3"
"29",0,"GS-10-0-","ssGSEA4"
"30",83,"GS-10-0-","JASMINE4"
"31",29,"GS-10-0-","AUCell4"
"32",0,"GS-10-0-","UCell4"
"33",58,"GS-10-0-","scPS4"
"34",41,"GS-10-0-","SCSE4"
"35",4,"GS-10-0-","AddModuleScore4"
"36",0,"GS-10-0-","ssGSEA5"
"37",96,"GS-10-0-","JASMINE5"
"38",34,"GS-10-0-","AUCell5"
"39",0,"GS-10-0-","UCell5"
"40",55,"GS-10-0-","scPS5"
"41",16,"GS-10-0-","SCSE5"
"42",4,"GS-10-0-","AddModuleScore5"
"43",0,"GS-10-0-","ssGSEA6"
"44",88,"GS-10-0-","JASMINE6"
"45",16,"GS-10-0-","AUCell6"
"46",0,"GS-10-0-","UCell6"
"47",42,"GS-10-0-","scPS6"
"48",12,"GS-10-0-","SCSE6"
"49",3,"GS-10-0-","AddModuleScore6"
"50",0,"GS-10-0-","ssGSEA7"
"51",95,"GS-10-0-","JASMINE7"
"52",22,"GS-10-0-","AUCell7"
"53",0,"GS-10-0-","UCell7"
"54",54,"GS-10-0-","scPS7"
"55",0,"GS-10-0-","SCSE7"
"56",4,"GS-10-0-","AddModuleScore7"
"57",0,"GS-10-0-","ssGSEA8"
"58",89,"GS-10-0-","JASMINE8"
"59",16,"GS-10-0-","AUCell8"
"60",0,"GS-10-0-","UCell8"
"61",61,"GS-10-0-","scPS8"
"62",5,"GS-10-0-","SCSE8"
"63",5,"GS-10-0-","AddModuleScore8"
"64",0,"GS-10-0-","ssGSEA9"
"65",93,"GS-10-0-","JASMINE9"
