"","GS-10-0-","GS-10-0.2-","GS-10-0.5-","GS-10-0.8-","GS-10-1-","GS-20-0-","GS-20-0.2-","GS-20-0.5-","GS-20-0.8-","GS-20-1-","GS-30-0-","GS-30-0.2-","GS-30-0.5-","GS-30-0.8-","GS-30-1-","GS-40-0-","GS-40-0.2-","GS-40-0.5-","GS-40-0.8-","GS-40-1-","GS-50-0-","GS-50-0.2-","GS-50-0.5-","GS-50-0.8-","GS-50-1-","GS-100-0-","GS-100-0.2-","GS-100-0.5-","GS-100-0.8-","GS-100-1-","GS-200-0-","GS-200-0.2-","GS-200-0.5-","GS-200-0.8-","GS-200-1-","GS-300-0-","GS-300-0.2-","GS-300-0.5-","GS-300-0.8-","GS-300-1-","GS-400-0-","GS-400-0.2-","GS-400-0.5-","GS-400-0.8-","GS-400-1-","GS-500-0-","GS-500-0.2-","GS-500-0.5-","GS-500-0.8-","GS-500-1-"
"ssGSEA",17,39,75,97,98,14,21,40,81,97,7,22,42,79,96,11,32,56,80,87,15,28,50,84,90,19,38,61,72,82,16,28,52,70,80,7,34,42,64,81,4,24,38,61,84,1,23,44,61,75
"JASMINE",90,93,91,56,23,100,100,97,80,25,100,98,95,88,33,100,100,98,90,38,100,100,98,89,38,100,100,100,90,67,100,100,100,97,77,100,100,100,98,88,100,100,100,97,82,100,100,100,100,96
"AUCell",98,98,95,69,38,100,96,96,86,49,100,97,91,91,66,100,100,95,92,71,100,98,98,91,76,100,100,99,88,82,100,100,99,95,79,100,100,100,94,78,100,100,100,94,84,100,100,100,98,79
"UCell",27,30,27,26,19,41,40,31,29,20,44,40,29,27,32,55,44,39,35,36,59,55,36,29,39,91,73,37,38,61,97,68,40,35,76,100,83,34,38,91,100,87,28,44,88,100,89,29,42,93
"scPS",1,3,7,11,19,0,6,12,12,20,0,6,16,22,31,2,4,11,27,40,0,8,10,23,43,0,4,29,43,68,0,5,23,59,84,0,6,33,70,96,0,10,37,79,95,0,13,32,74,98
"SCSE",100,99,95,68,24,100,98,98,89,26,100,100,97,92,35,100,100,99,91,39,100,100,98,86,40,100,100,100,93,69,100,100,100,96,73,100,100,100,99,86,100,100,100,98,83,100,100,100,100,95
"AddModuleScore",100,100,95,83,27,100,98,99,93,32,100,100,97,91,31,100,100,96,89,34,100,100,98,90,35,100,100,90,88,56,100,100,87,83,66,100,100,84,70,78,100,100,70,68,71,100,98,77,74,75
"ssGSEA1",3,13,51,96,99,2,7,23,64,95,0,10,31,60,90,0,8,22,71,83,0,5,35,66,86,0,7,38,75,87,0,3,21,65,74,0,1,18,54,74,0,1,19,58,75,0,0,13,65,77
"JASMINE1",73,79,77,54,19,99,96,99,83,23,99,97,95,83,35,100,98,97,92,46,100,100,97,86,43,100,100,99,90,65,100,100,100,96,76,100,100,100,98,83,100,100,100,100,91,100,100,100,100,89
"AUCell1",99,93,85,61,39,100,97,96,88,50,100,97,92,89,62,100,98,95,90,72,100,100,96,85,65,100,100,96,81,85,100,100,100,91,73,100,100,100,93,80,100,100,100,94,82,100,100,100,98,81
"UCell1",3,5,10,12,13,6,10,9,12,22,7,11,15,14,28,5,4,10,23,39,3,3,13,32,42,10,5,14,32,60,1,2,2,33,84,1,3,1,47,88,1,0,0,49,93,0,0,0,52,98
"scPS1",1,5,1,10,15,3,7,11,15,24,3,6,17,21,37,3,11,16,26,46,6,9,21,40,57,3,15,42,45,71,3,18,44,71,92,4,22,45,86,94,2,27,64,93,98,1,25,53,90,100
"SCSE1",99,97,90,68,21,100,99,98,84,24,100,100,97,86,34,100,100,100,92,47,100,100,100,88,44,100,100,100,95,64,100,100,100,98,72,100,100,100,99,84,100,100,100,100,93,100,100,100,100,92
"AddModuleScore1",100,99,98,90,40,100,100,97,96,29,100,99,94,96,35,100,99,94,90,42,100,100,95,81,42,100,100,86,83,57,100,98,80,77,71,100,96,57,58,75,100,94,48,70,84,100,87,37,57,78
"ssGSEA2",9,20,61,96,100,1,12,39,83,95,6,12,42,78,95,6,19,35,82,92,3,17,49,84,86,1,13,50,73,79,0,6,33,78,74,0,7,41,65,74,0,4,26,60,73,0,1,29,58,79
"JASMINE2",86,84,85,49,16,100,100,92,78,43,100,100,91,86,44,100,99,96,87,51,100,100,99,90,51,100,100,100,87,79,100,100,100,93,78,100,100,100,97,92,100,100,100,100,95,100,100,100,99,94
"AUCell2",98,96,88,71,45,100,98,96,90,76,100,98,91,90,86,100,99,94,90,87,100,99,99,93,79,100,100,98,84,87,100,100,100,87,80,100,100,100,92,82,100,100,100,94,84,100,100,100,97,80
"UCell2",12,10,9,20,14,6,11,15,32,35,13,16,20,30,41,12,17,15,31,38,19,19,11,35,45,20,15,18,47,69,44,23,12,37,83,51,25,11,61,94,54,13,3,65,97,72,10,3,61,98
"scPS2",5,4,5,14,13,3,8,12,23,38,6,12,27,29,42,8,18,16,38,39,4,14,22,42,54,5,19,44,61,79,3,32,67,71,94,4,34,62,91,97,0,33,70,98,99,2,32,64,95,100
"SCSE2",99,96,89,61,16,100,100,94,80,42,100,99,97,89,46,100,100,98,85,54,100,100,99,91,53,100,100,100,90,76,100,100,100,95,81,100,100,100,98,90,100,100,100,100,92,100,100,100,99,93
"AddModuleScore2",100,99,96,89,27,100,100,97,89,38,100,100,93,90,40,100,100,96,89,44,100,100,99,91,43,100,100,92,85,66,100,100,84,79,69,100,100,84,71,82,100,98,61,62,84,100,99,63,70,75
"ssGSEA3",4,13,47,95,97,1,5,25,79,92,0,8,24,69,93,0,9,23,63,90,0,9,25,67,91,0,11,24,72,81,0,8,28,55,85,0,2,19,61,80,0,2,29,55,79,0,2,16,52,75
"JASMINE3",84,93,74,50,23,100,100,89,75,34,100,98,93,84,38,100,100,97,87,48,100,100,98,83,53,100,100,100,91,60,100,100,100,98,76,100,100,100,98,86,100,100,100,99,87,100,100,100,100,91
"AUCell3",94,92,85,60,39,100,98,87,84,69,100,97,91,87,84,100,99,91,89,82,100,100,91,89,86,100,100,99,86,84,100,100,100,90,85,100,100,100,91,78,100,100,100,93,75,100,100,100,98,80
"UCell3",5,7,8,18,20,0,3,16,25,29,0,5,16,24,32,1,5,13,23,43,0,6,18,28,49,0,2,8,37,57,0,0,8,45,75,0,0,4,69,92,0,0,10,54,98,0,0,2,62,99
"scPS3",5,7,10,17,23,11,13,24,27,34,10,19,27,39,37,23,20,26,44,48,18,29,35,44,60,25,45,41,62,70,38,61,64,81,86,54,65,82,97,99,56,67,81,95,100,59,62,79,98,100
"SCSE3",99,99,85,62,21,100,100,95,79,34,100,99,97,87,41,100,100,99,91,52,100,100,99,85,54,100,100,100,91,59,100,100,100,98,71,100,100,100,99,84,100,100,100,100,87,100,100,100,100,91
"AddModuleScore3",100,100,96,90,42,100,100,94,86,48,100,100,96,91,41,100,100,95,91,41,100,100,96,87,49,100,100,90,83,51,100,96,65,73,60,100,95,50,61,72,100,82,35,69,74,100,51,25,61,76
"ssGSEA4",26,46,81,96,99,21,31,62,94,96,25,40,69,89,92,29,49,77,89,87,46,61,77,82,89,61,64,69,80,82,82,54,60,70,81,94,70,58,64,83,99,57,50,63,86,100,60,60,66,86
"JASMINE4",99,98,83,68,24,100,99,96,82,31,100,99,93,90,43,100,100,98,90,52,100,100,100,89,63,100,100,99,94,77,100,100,100,94,87,100,100,100,100,90,100,100,100,100,92,100,100,100,100,95
"AUCell4",100,97,91,80,46,100,96,96,90,72,100,98,93,94,74,100,100,95,92,83,100,100,99,93,85,100,100,100,83,92,100,100,100,92,79,100,100,100,96,83,100,100,100,96,84,100,100,100,96,86
"UCell4",44,41,52,41,18,48,53,42,46,29,72,58,42,41,40,83,68,55,41,48,87,79,48,41,53,99,87,63,57,66,99,83,49,48,81,100,95,50,39,95,100,98,49,38,92,100,98,52,62,98
"scPS4",3,6,8,13,16,0,7,15,21,29,0,4,20,22,40,0,6,16,24,46,0,8,14,37,57,0,10,40,53,73,1,16,39,74,89,0,12,46,86,99,0,23,46,79,99,0,21,49,93,100
"SCSE4",100,98,88,74,22,100,98,98,84,31,100,100,97,94,45,100,100,99,91,56,100,100,100,92,63,100,100,100,97,77,100,100,100,97,82,100,100,100,100,85,100,100,100,100,92,100,100,100,100,94
"AddModuleScore4",100,99,98,91,27,100,99,98,88,28,100,100,96,91,40,100,100,98,96,41,100,100,99,88,47,100,100,92,80,62,100,100,84,84,74,100,100,85,75,76,100,100,71,68,80,100,99,76,60,81
"ssGSEA5",32,54,80,95,100,26,40,64,94,98,42,47,72,89,93,46,53,79,96,88,49,64,76,90,88,66,70,73,73,83,93,58,58,69,86,99,73,58,78,83,100,73,53,66,76,100,82,53,65,80
"JASMINE5",98,97,87,69,18,100,99,96,87,38,100,99,94,93,42,100,100,99,90,59,100,100,98,92,57,100,100,100,95,79,100,100,100,98,81,100,100,100,100,88,100,100,100,100,94,100,100,100,100,96
"AUCell5",100,99,95,72,39,100,99,95,96,79,100,99,91,96,76,100,100,95,91,80,100,100,95,89,85,100,100,100,86,86,100,100,100,97,80,100,100,100,89,86,100,100,100,97,83,100,100,100,98,84
"UCell5",54,54,44,50,18,62,63,55,47,34,80,68,54,42,38,88,79,59,59,51,92,80,60,48,53,100,84,57,54,70,100,92,53,47,83,100,96,55,41,84,100,98,49,42,97,100,98,62,40,97
"scPS5",2,3,4,15,18,0,2,11,20,29,0,7,24,19,41,1,2,11,33,42,1,7,20,33,52,0,10,35,52,68,0,14,26,63,90,0,13,32,77,95,0,13,37,82,98,0,15,45,84,100
"SCSE5",100,99,93,72,19,100,100,94,91,40,100,100,99,97,46,100,100,100,92,62,100,100,99,90,61,100,100,100,95,76,100,100,100,99,79,100,100,100,100,83,100,100,100,100,91,100,100,100,100,93
"AddModuleScore5",100,99,99,86,18,100,100,98,96,39,100,100,96,91,36,100,100,98,94,39,100,100,98,91,47,100,100,86,83,61,100,100,93,82,66,100,100,81,82,72,100,99,77,71,80,100,99,75,67,74
"ssGSEA6",27,40,78,98,99,19,33,52,87,99,33,40,69,87,94,33,42,74,86,97,36,50,64,82,89,54,64,66,73,80,63,59,65,75,71,86,63,56,71,77,93,62,51,68,80,100,66,54,64,89
"JASMINE6",100,96,87,54,21,100,100,99,79,32,100,99,97,91,51,100,100,97,91,47,100,100,98,89,57,100,100,100,97,73,100,100,100,98,79,100,100,100,98,92,100,100,100,100,87,100,100,100,100,93
"AUCell6",100,97,89,69,40,100,100,95,87,66,100,99,97,87,80,100,100,92,92,87,100,100,95,93,87,100,100,100,88,77,100,100,100,92,78,100,100,100,89,81,100,100,100,96,84,100,100,100,97,82
"UCell6",46,37,49,39,19,53,46,42,37,31,76,60,46,43,46,80,60,49,48,42,84,72,47,40,52,98,87,54,42,68,100,87,54,38,83,100,99,50,42,88,100,99,50,33,94,100,97,49,43,99
"scPS6",5,3,7,15,18,1,0,10,20,26,0,3,17,24,44,2,6,16,29,40,1,4,13,29,55,0,6,25,47,73,0,11,19,60,87,0,5,37,78,95,0,10,37,86,98,0,14,42,83,99
"SCSE6",100,99,92,66,21,100,100,100,90,33,100,100,96,89,51,100,100,99,92,49,100,100,99,88,61,100,100,100,94,71,100,100,100,99,81,100,100,100,99,87,100,100,100,100,86,100,100,100,100,92
"AddModuleScore6",100,100,97,84,21,100,100,99,93,31,100,100,94,93,40,100,100,96,89,37,100,100,96,88,47,100,100,95,85,61,100,100,89,78,72,100,100,84,78,78,100,100,84,77,79,100,100,76,71,81
"ssGSEA7",24,39,60,90,100,18,27,39,86,94,19,34,50,78,91,25,38,54,88,88,23,32,63,87,88,28,47,66,77,87,56,53,51,66,88,46,56,45,56,73,61,58,44,62,81,78,58,39,61,88
"JASMINE7",96,96,90,53,16,100,100,99,89,33,100,99,98,89,47,100,100,96,93,46,100,100,97,91,62,100,100,100,91,72,100,100,100,96,81,100,100,100,99,88,100,100,100,100,88,100,100,100,100,89
"AUCell7",100,96,92,60,36,100,100,98,88,58,100,98,96,93,82,100,99,94,87,75,100,100,96,92,79,100,100,100,83,83,100,100,100,90,79,100,100,100,96,75,100,100,100,98,84,100,100,100,98,80
"UCell7",41,43,33,29,16,57,53,29,46,30,62,54,37,45,42,77,67,41,45,42,85,65,48,44,56,95,81,60,42,65,100,93,52,38,82,100,95,58,47,88,100,100,58,26,97,100,99,52,32,96
"scPS7",1,4,4,12,10,1,1,6,28,27,2,6,10,29,39,0,4,17,33,42,2,5,18,23,55,1,4,19,46,69,0,7,23,52,88,0,14,32,79,93,0,6,29,70,100,0,9,43,77,98
"SCSE7",100,99,97,64,16,100,100,99,90,34,100,100,98,89,49,100,100,99,88,47,100,100,99,91,64,100,100,100,93,75,100,100,100,99,80,100,100,100,100,87,100,100,100,100,89,100,100,100,100,89
"AddModuleScore7",100,99,100,91,27,100,100,98,91,27,100,100,98,94,34,100,100,94,91,39,100,100,95,92,49,100,100,89,86,60,100,100,85,81,74,100,99,83,59,79,100,100,75,68,78,100,100,68,73,82
"ssGSEA8",63,75,90,97,100,68,74,81,94,96,82,79,83,93,96,85,85,90,82,88,94,83,86,86,92,100,89,73,72,82,100,89,83,64,81,100,97,79,74,82,100,98,86,66,84,100,100,84,64,87
"JASMINE8",99,96,90,63,20,100,100,95,87,37,100,99,96,91,49,100,100,98,93,58,100,100,100,93,66,100,100,100,94,79,100,100,100,98,84,100,100,100,100,87,100,100,100,100,90,100,100,100,100,92
"AUCell8",100,98,95,75,46,100,99,92,92,61,100,99,95,92,83,100,100,95,94,77,100,100,98,90,81,100,100,100,90,82,100,100,100,94,78,100,100,100,97,86,100,100,100,98,81,100,100,100,99,87
"UCell8",74,73,53,49,19,94,82,73,58,37,96,90,77,57,44,100,91,81,62,56,100,95,75,62,58,100,94,70,53,72,100,100,89,46,86,100,100,88,47,86,100,100,89,36,96,100,100,95,28,97
"scPS8",1,3,7,10,14,3,7,11,17,32,0,4,12,27,38,0,7,13,26,48,0,6,19,26,52,4,7,18,49,71,1,6,14,64,91,0,5,23,67,93,3,5,23,64,100,0,9,35,68,100
"SCSE8",100,98,96,69,19,100,100,95,89,36,100,100,97,92,50,100,100,99,91,56,100,100,100,90,62,100,100,100,93,79,100,100,100,98,82,100,100,100,100,84,100,100,100,100,87,100,100,100,100,90
"AddModuleScore8",100,100,100,91,21,100,100,98,94,28,100,100,98,89,36,100,100,99,94,44,100,100,98,92,48,100,100,97,88,66,100,100,95,76,77,100,100,92,75,82,100,100,90,69,85,100,100,93,71,77
"ssGSEA9",32,50,86,98,100,28,45,71,86,95,41,49,64,90,94,49,62,76,92,99,46,47,76,88,91,70,71,63,76,84,90,70,67,77,80,99,76,58,59,80,100,82,57,67,77,100,76,54,71,81
"JASMINE9",97,95,89,65,19,100,100,95,80,37,100,99,98,96,39,100,100,97,86,52,100,100,100,89,69,100,100,100,89,82,100,100,100,99,82,100,100,100,100,88,100,100,100,99,93,100,100,100,100,91
"AUCell9",100,100,96,78,53,100,97,95,92,68,100,100,89,95,74,100,100,97,94,90,100,100,98,94,87,100,100,100,89,81,100,100,100,88,75,100,100,100,96,83,100,100,100,98,76,100,100,100,100,89
"UCell9",54,56,58,39,17,71,62,58,50,35,82,69,48,43,39,92,80,58,54,49,96,82,60,55,62,100,89,65,47,79,100,98,70,49,88,100,99,65,34,93,100,100,65,37,95,100,100,70,42,98
"scPS9",1,2,4,13,13,0,6,16,18,31,0,6,23,16,40,1,5,19,30,47,1,2,15,35,53,0,7,18,48,78,0,9,20,63,90,0,9,30,72,97,0,7,32,76,100,0,17,40,78,99
