"","count","geneset","methods"
"1",17,"GS-10-0-","ssGSEA"
"2",90,"GS-10-0-","JASMINE"
"3",98,"GS-10-0-","AUCell"
"4",27,"GS-10-0-","UCell"
"5",1,"GS-10-0-","scPS"
"6",100,"GS-10-0-","SCSE"
"7",100,"GS-10-0-","AddModuleScore"
"8",3,"GS-10-0-","ssGSEA1"
"9",73,"GS-10-0-","JASMINE1"
"10",99,"GS-10-0-","AUCell1"
"11",3,"GS-10-0-","UCell1"
"12",1,"GS-10-0-","scPS1"
"13",99,"GS-10-0-","SCSE1"
"14",100,"GS-10-0-","AddModuleScore1"
"15",9,"GS-10-0-","ssGSEA2"
"16",86,"GS-10-0-","JASMINE2"
"17",98,"GS-10-0-","AUCell2"
"18",12,"GS-10-0-","UCell2"
"19",5,"GS-10-0-","scPS2"
"20",99,"GS-10-0-","SCSE2"
"21",100,"GS-10-0-","AddModuleScore2"
"22",4,"GS-10-0-","ssGSEA3"
"23",84,"GS-10-0-","JASMINE3"
"24",94,"GS-10-0-","AUCell3"
"25",5,"GS-10-0-","UCell3"
"26",5,"GS-10-0-","scPS3"
"27",99,"GS-10-0-","SCSE3"
"28",100,"GS-10-0-","AddModuleScore3"
"29",26,"GS-10-0-","ssGSEA4"
"30",99,"GS-10-0-","JASMINE4"
"31",100,"GS-10-0-","AUCell4"
"32",44,"GS-10-0-","UCell4"
"33",3,"GS-10-0-","scPS4"
"34",100,"GS-10-0-","SCSE4"
"35",100,"GS-10-0-","AddModuleScore4"
"36",32,"GS-10-0-","ssGSEA5"
"37",98,"GS-10-0-","JASMINE5"
"38",100,"GS-10-0-","AUCell5"
"39",54,"GS-10-0-","UCell5"
"40",2,"GS-10-0-","scPS5"
"41",100,"GS-10-0-","SCSE5"
"42",100,"GS-10-0-","AddModuleScore5"
"43",27,"GS-10-0-","ssGSEA6"
"44",100,"GS-10-0-","JASMINE6"
"45",100,"GS-10-0-","AUCell6"
"46",46,"GS-10-0-","UCell6"
"47",5,"GS-10-0-","scPS6"
"48",100,"GS-10-0-","SCSE6"
"49",100,"GS-10-0-","AddModuleScore6"
"50",24,"GS-10-0-","ssGSEA7"
"51",96,"GS-10-0-","JASMINE7"
"52",100,"GS-10-0-","AUCell7"
"53",41,"GS-10-0-","UCell7"
"54",1,"GS-10-0-","scPS7"
"55",100,"GS-10-0-","SCSE7"
"56",100,"GS-10-0-","AddModuleScore7"
"57",63,"GS-10-0-","ssGSEA8"
"58",99,"GS-10-0-","JASMINE8"
"59",100,"GS-10-0-","AUCell8"
"60",74,"GS-10-0-","UCell8"
"61",1,"GS-10-0-","scPS8"
"62",100,"GS-10-0-","SCSE8"
"63",100,"GS-10-0-","AddModuleScore8"
"64",32,"GS-10-0-","ssGSEA9"
"65",97,"GS-10-0-","JASMINE9"
"66",100,"GS-10-0-","AUCell9"
"67",54,"GS-10-0-","UCell9"
"68",1,"GS-10-0-","scPS9"
"69",100,"GS-10-0-","SCSE9"
"70",100,"GS-10-0-","AddModuleScore9"
"71",39,"GS-10-0.2-","ssGSEA"
"72",93,"GS-10-0.2-","JASMINE"
"73",98,"GS-10-0.2-","AUCell"
"74",30,"GS-10-0.2-","UCell"
"75",3,"GS-10-0.2-","scPS"
"76",99,"GS-10-0.2-","SCSE"
"77",100,"GS-10-0.2-","AddModuleScore"
"78",13,"GS-10-0.2-","ssGSEA1"
"79",79,"GS-10-0.2-","JASMINE1"
"80",93,"GS-10-0.2-","AUCell1"
"81",5,"GS-10-0.2-","UCell1"
"82",5,"GS-10-0.2-","scPS1"
"83",97,"GS-10-0.2-","SCSE1"
"84",99,"GS-10-0.2-","AddModuleScore1"
"85",20,"GS-10-0.2-","ssGSEA2"
"86",84,"GS-10-0.2-","JASMINE2"
"87",96,"GS-10-0.2-","AUCell2"
"88",10,"GS-10-0.2-","UCell2"
"89",4,"GS-10-0.2-","scPS2"
"90",96,"GS-10-0.2-","SCSE2"
"91",99,"GS-10-0.2-","AddModuleScore2"
"92",13,"GS-10-0.2-","ssGSEA3"
"93",93,"GS-10-0.2-","JASMINE3"
"94",92,"GS-10-0.2-","AUCell3"
"95",7,"GS-10-0.2-","UCell3"
"96",7,"GS-10-0.2-","scPS3"
"97",99,"GS-10-0.2-","SCSE3"
"98",100,"GS-10-0.2-","AddModuleScore3"
"99",46,"GS-10-0.2-","ssGSEA4"
"100",98,"GS-10-0.2-","JASMINE4"
"101",97,"GS-10-0.2-","AUCell4"
"102",41,"GS-10-0.2-","UCell4"
"103",6,"GS-10-0.2-","scPS4"
"104",98,"GS-10-0.2-","SCSE4"
"105",99,"GS-10-0.2-","AddModuleScore4"
"106",54,"GS-10-0.2-","ssGSEA5"
"107",97,"GS-10-0.2-","JASMINE5"
"108",99,"GS-10-0.2-","AUCell5"
"109",54,"GS-10-0.2-","UCell5"
"110",3,"GS-10-0.2-","scPS5"
"111",99,"GS-10-0.2-","SCSE5"
"112",99,"GS-10-0.2-","AddModuleScore5"
"113",40,"GS-10-0.2-","ssGSEA6"
"114",96,"GS-10-0.2-","JASMINE6"
"115",97,"GS-10-0.2-","AUCell6"
"116",37,"GS-10-0.2-","UCell6"
"117",3,"GS-10-0.2-","scPS6"
"118",99,"GS-10-0.2-","SCSE6"
"119",100,"GS-10-0.2-","AddModuleScore6"
"120",39,"GS-10-0.2-","ssGSEA7"
"121",96,"GS-10-0.2-","JASMINE7"
"122",96,"GS-10-0.2-","AUCell7"
"123",43,"GS-10-0.2-","UCell7"
"124",4,"GS-10-0.2-","scPS7"
"125",99,"GS-10-0.2-","SCSE7"
"126",99,"GS-10-0.2-","AddModuleScore7"
"127",75,"GS-10-0.2-","ssGSEA8"
