"","GS-10-0-","GS-10-0.2-","GS-10-0.5-","GS-10-0.8-","GS-10-1-","GS-20-0-","GS-20-0.2-","GS-20-0.5-","GS-20-0.8-","GS-20-1-","GS-30-0-","GS-30-0.2-","GS-30-0.5-","GS-30-0.8-","GS-30-1-","GS-40-0-","GS-40-0.2-","GS-40-0.5-","GS-40-0.8-","GS-40-1-","GS-50-0-","GS-50-0.2-","GS-50-0.5-","GS-50-0.8-","GS-50-1-","GS-100-0-","GS-100-0.2-","GS-100-0.5-","GS-100-0.8-","GS-100-1-","GS-200-0-","GS-200-0.2-","GS-200-0.5-","GS-200-0.8-","GS-200-1-","GS-300-0-","GS-300-0.2-","GS-300-0.5-","GS-300-0.8-","GS-300-1-","GS-400-0-","GS-400-0.2-","GS-400-0.5-","GS-400-0.8-","GS-400-1-","GS-500-0-","GS-500-0.2-","GS-500-0.5-","GS-500-0.8-","GS-500-1-"
"ssGSEA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASMINE",54,49,21,5,17,88,75,42,9,50,98,85,58,11,56,100,94,74,10,76,100,97,92,7,84,100,100,98,11,99,100,100,100,14,100,100,100,100,22,100,100,100,100,34,100,100,100,100,47,100
"AUCell",87,73,37,6,59,100,95,65,11,92,100,100,86,14,96,100,100,96,11,100,100,100,100,9,100,100,100,100,20,100,100,100,100,29,100,100,100,100,33,100,100,100,100,54,100,100,100,100,62,100
"UCell",55,46,14,6,12,85,76,30,3,28,95,87,44,8,40,97,92,57,7,46,100,99,76,4,56,100,100,99,7,86,100,100,100,8,95,100,100,100,13,100,100,100,100,16,100,100,100,100,17,100
"scPS",94,91,74,35,2,99,99,88,59,5,100,100,95,78,7,100,100,100,73,6,100,100,100,85,5,100,100,100,99,2,100,100,100,100,4,99,100,100,100,2,100,100,100,100,3,100,100,100,100,1
"SCSE",22,16,6,6,2,28,21,11,2,8,49,34,15,7,18,51,42,18,4,18,62,43,26,3,25,91,72,38,5,53,100,98,65,5,67,100,100,87,3,91,100,100,99,11,94,100,100,100,10,98
"AddModuleScore",18,24,18,34,0,23,25,25,19,1,29,39,25,14,5,41,39,37,24,2,29,49,43,17,4,46,97,80,18,1,75,100,100,24,1,97,100,100,38,3,100,100,100,59,7,100,100,100,55,5
"ssGSEA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASMINE1",50,59,28,14,17,88,78,53,13,49,96,85,61,6,66,99,89,81,15,75,97,91,86,19,89,100,96,97,15,100,100,100,100,22,100,100,100,100,25,100,100,100,100,39,100,100,100,100,44,100
"AUCell1",93,81,41,13,51,100,100,79,10,88,100,100,90,10,98,100,100,94,16,100,100,100,97,11,100,100,100,100,19,100,100,100,100,38,100,100,100,100,46,100,100,100,100,65,100,100,100,100,57,100
"UCell1",61,46,22,10,17,86,67,37,4,34,100,93,49,8,56,99,94,62,10,51,100,98,63,8,63,100,100,94,5,83,100,100,99,12,100,100,100,100,7,100,100,100,100,14,100,100,100,100,12,100
"scPS1",94,91,69,38,3,99,96,87,67,4,100,100,95,73,6,100,100,99,76,7,100,100,100,86,2,100,100,100,97,2,100,100,100,100,3,100,100,100,100,2,97,100,100,100,2,97,100,100,100,3
"SCSE1",22,21,12,11,4,43,31,16,5,11,49,41,18,5,24,62,49,29,7,18,61,49,25,5,22,93,80,45,7,51,100,100,81,9,75,100,100,91,9,89,100,100,98,9,96,100,100,100,5,100
"AddModuleScore1",24,28,26,40,2,31,31,33,20,2,26,38,31,15,5,36,46,43,20,4,41,51,31,19,1,45,96,79,18,0,74,100,100,30,4,91,100,100,44,3,94,100,100,52,6,98,100,100,52,4
"ssGSEA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASMINE2",54,54,29,7,14,96,86,56,8,43,100,94,65,11,66,100,98,74,7,81,100,95,84,9,84,100,99,99,7,100,100,100,100,23,100,100,100,100,32,100,100,100,100,26,100,100,100,100,35,100
"AUCell2",92,72,35,5,58,99,96,73,5,94,100,100,80,12,100,100,100,96,13,100,100,100,97,14,100,100,100,100,10,100,100,100,100,33,100,100,100,100,37,100,100,100,100,44,100,100,100,100,57,100
"UCell2",57,40,20,4,15,82,75,36,3,41,96,91,44,6,50,97,95,56,7,60,99,97,72,10,63,100,100,95,0,93,100,100,100,13,100,100,100,100,17,100,100,100,100,11,100,100,100,100,22,100
"scPS2",95,84,67,43,3,100,100,95,63,2,100,100,97,71,4,100,100,100,83,3,100,100,100,87,3,100,100,100,97,4,100,100,100,100,3,100,100,100,100,4,100,100,100,100,3,98,100,100,100,3
"SCSE2",10,5,8,6,4,32,26,13,5,8,48,37,16,5,15,54,41,22,5,13,66,42,29,7,27,89,77,35,2,34,100,97,75,5,76,100,99,90,6,90,100,100,99,6,99,100,100,100,10,99
"AddModuleScore2",17,17,30,35,4,27,26,23,19,0,23,41,25,21,0,31,38,33,18,3,37,53,45,15,1,47,94,86,22,2,80,100,99,24,2,94,100,100,45,5,99,100,100,50,9,99,100,100,53,6
"ssGSEA3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASMINE3",67,69,31,6,9,99,82,59,7,36,100,97,75,9,58,100,99,85,4,77,100,100,89,10,84,100,100,100,13,100,100,100,100,23,100,100,100,100,28,100,100,100,100,29,100,100,100,100,40,100
"AUCell3",92,83,49,4,62,100,96,74,7,92,100,99,85,12,100,100,100,94,12,100,100,100,100,15,100,100,100,100,12,100,100,100,100,31,100,100,100,100,44,100,100,100,100,44,100,100,100,100,54,100
"UCell3",62,60,24,5,12,95,78,51,5,28,99,93,62,7,37,100,98,74,4,47,100,100,82,11,65,100,100,100,16,82,100,100,100,30,98,100,100,100,31,100,100,100,100,32,100,100,100,100,54,100
"scPS3",91,91,81,30,1,100,100,96,56,4,100,100,96,79,5,100,100,100,82,3,100,100,100,89,5,99,100,100,97,3,100,100,100,100,5,100,100,100,100,2,100,100,100,100,1,97,99,100,100,0
"SCSE3",18,14,13,0,2,28,17,12,5,8,41,28,14,5,10,47,48,12,0,21,63,49,19,2,25,93,75,36,3,37,100,98,68,7,76,100,100,84,13,82,100,100,95,6,96,100,100,98,7,99
"AddModuleScore3",27,27,28,38,7,28,29,21,29,3,28,37,26,19,1,32,49,28,11,3,30,49,41,20,4,55,97,80,23,3,75,100,100,37,4,94,100,100,49,1,98,100,100,41,5,100,100,100,65,9
"ssGSEA4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASMINE4",82,69,37,6,10,100,94,58,9,33,100,99,87,8,65,100,100,90,7,79,100,100,96,17,86,100,100,100,13,98,100,100,100,23,100,100,100,100,40,100,100,100,100,28,100,100,100,100,56,100
"AUCell4",94,80,48,4,78,100,96,71,10,93,100,100,92,10,100,100,100,97,13,100,100,100,99,17,100,100,100,100,22,100,100,100,100,29,100,100,100,100,57,100,100,100,100,46,100,100,100,100,69,100
"UCell4",66,48,25,7,17,93,77,39,9,33,100,95,67,8,55,99,96,72,5,63,100,99,82,8,57,100,100,100,15,85,100,100,100,18,97,100,100,100,34,100,100,100,100,25,100,100,100,100,50,100
"scPS4",99,91,76,45,1,100,99,91,64,5,100,99,99,72,7,100,100,99,86,4,100,100,100,85,2,100,100,100,100,7,100,100,100,100,2,100,100,100,100,0,100,100,100,100,2,99,100,100,100,5
"SCSE4",24,25,13,8,2,36,28,11,6,9,44,35,23,4,17,57,48,25,5,16,75,66,35,5,19,96,88,62,4,51,100,100,87,11,74,100,100,94,10,95,100,100,95,9,98,100,100,99,15,100
"AddModuleScore4",27,34,29,29,4,28,26,27,19,1,36,34,26,17,2,36,40,38,12,4,42,54,50,20,2,45,99,90,21,4,75,100,100,33,3,94,100,100,44,2,98,100,100,50,6,100,100,100,66,15
"ssGSEA5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASMINE5",62,59,27,9,20,96,86,58,6,46,100,96,71,12,57,100,98,87,14,77,100,99,92,5,85,100,100,100,16,100,100,100,100,19,100,100,100,100,27,100,100,100,100,46,100,100,100,100,49,100
"AUCell5",88,83,44,14,64,100,94,80,6,91,100,99,91,9,100,100,100,100,21,100,100,100,100,14,100,100,100,100,23,100,100,100,100,27,100,100,100,100,48,100,100,100,100,62,100,100,100,100,69,100
"UCell5",65,51,15,11,22,95,81,43,6,38,98,93,55,8,40,100,96,74,13,62,100,100,84,3,61,100,100,98,11,92,100,100,100,12,99,100,100,100,21,100,100,100,100,28,100,100,100,100,31,100
"scPS5",97,96,76,44,7,100,99,92,62,3,100,100,97,71,3,100,100,100,79,9,100,100,100,93,2,100,100,100,97,7,100,100,100,100,4,100,100,100,100,1,99,100,100,100,4,100,100,100,100,1
"SCSE5",22,18,8,8,12,36,23,9,5,11,54,39,16,9,15,59,47,28,12,25,78,55,28,4,25,95,84,54,7,55,100,99,79,8,73,100,100,89,6,93,100,100,97,11,100,100,100,100,12,100
"AddModuleScore5",14,25,19,30,4,21,22,17,28,2,35,36,30,17,3,36,46,37,26,3,36,52,43,15,2,49,98,83,19,5,75,100,100,28,4,92,100,100,47,1,100,100,100,56,7,100,100,100,57,3
"ssGSEA6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASMINE6",85,81,48,17,6,100,100,68,8,24,100,100,92,13,42,100,100,96,10,63,100,100,95,12,83,100,100,99,19,100,100,100,100,28,100,100,100,100,37,100,100,100,100,48,100,100,100,100,53,100
"AUCell6",86,72,45,15,68,100,96,79,14,97,100,100,90,13,100,100,100,98,20,100,100,100,98,21,100,100,100,100,24,100,100,100,100,41,100,100,100,100,45,100,100,100,100,58,100,100,100,100,66,100
"UCell6",63,57,23,13,10,96,90,51,9,35,100,98,71,13,38,100,98,83,8,48,100,100,85,14,60,100,100,100,24,82,100,100,100,32,100,100,100,100,42,99,100,100,100,55,100,100,100,100,67,100
"scPS6",96,91,82,54,4,100,100,95,65,5,100,100,100,73,1,100,100,100,92,1,100,100,100,95,4,100,100,100,100,4,100,100,100,100,0,100,100,100,100,2,100,100,100,100,4,100,100,100,100,0
"SCSE6",22,15,10,6,2,30,21,11,6,7,51,37,20,5,9,59,50,35,6,15,66,54,31,5,23,95,86,61,9,41,100,100,80,5,80,100,100,95,9,94,100,100,100,11,98,100,100,100,13,100
"AddModuleScore6",32,24,24,31,4,35,23,24,25,2,33,35,34,13,4,35,43,46,17,3,40,57,50,22,2,54,100,92,32,5,84,100,100,28,2,95,100,100,45,4,97,100,100,65,9,100,100,100,59,8
"ssGSEA7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASMINE7",88,83,38,8,8,100,98,65,12,21,100,99,86,9,34,100,100,88,8,56,100,100,93,13,78,100,100,100,16,97,100,100,100,26,100,100,100,100,23,100,100,100,100,38,100,100,100,100,42,100
"AUCell7",90,74,51,15,79,99,97,74,13,98,100,100,92,14,100,100,100,97,10,100,100,100,98,13,100,100,100,100,18,100,100,100,100,36,100,100,100,100,32,100,100,100,100,51,100,100,100,100,57,100
"UCell7",60,46,23,6,16,79,62,38,6,21,94,87,60,10,32,100,95,66,7,40,100,99,79,11,50,100,100,95,6,71,100,100,100,25,98,100,100,100,21,100,100,100,100,39,100,100,100,100,34,100
"scPS7",100,97,88,50,5,100,100,98,71,9,100,100,100,82,4,100,100,100,82,8,100,100,100,93,2,100,100,100,100,4,100,100,100,100,7,100,100,100,100,8,100,100,100,100,5,99,100,100,100,3
"SCSE7",11,8,6,2,4,24,12,9,5,5,31,25,13,6,2,31,29,15,2,10,51,36,14,3,10,86,67,30,3,27,99,99,61,4,63,100,100,79,4,78,100,99,91,10,88,100,100,100,4,97
"AddModuleScore7",26,20,24,35,5,21,22,21,17,4,28,34,31,19,2,42,37,37,25,3,38,65,51,20,0,56,98,87,20,3,85,100,100,33,7,96,100,100,49,6,100,100,100,47,7,100,100,100,61,15
"ssGSEA8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASMINE8",75,75,36,8,11,100,95,59,7,23,100,96,73,18,57,100,99,74,9,61,100,99,90,7,82,100,100,100,11,100,100,100,100,26,100,100,100,100,29,100,100,100,100,36,100,100,100,100,54,100
"AUCell8",98,82,42,7,73,100,100,76,7,98,100,100,94,16,100,100,100,93,16,100,100,100,98,17,100,100,100,100,22,100,100,100,100,40,100,100,100,100,47,100,100,100,100,63,100,100,100,100,79,100
"UCell8",64,53,24,6,7,95,76,55,8,19,100,90,61,18,38,100,98,69,6,28,100,99,82,10,49,100,100,99,18,81,100,100,100,36,94,100,100,100,46,100,100,100,100,49,100,100,100,100,65,100
"scPS8",97,95,79,42,2,100,99,93,62,1,100,100,98,77,5,100,100,100,87,0,100,100,100,83,0,100,100,100,99,3,100,100,100,100,3,100,100,100,100,1,99,100,100,100,0,96,100,100,100,3
"SCSE8",24,19,7,7,1,32,20,18,7,4,39,32,24,6,12,61,50,27,4,16,70,49,27,7,25,95,82,52,2,48,100,99,75,4,69,100,100,92,8,92,100,100,96,11,99,100,100,99,15,99
"AddModuleScore8",26,25,18,36,1,38,32,29,28,2,32,35,35,14,4,31,49,41,23,2,33,65,47,20,2,48,96,92,21,5,80,100,100,41,4,93,100,100,43,3,99,100,100,68,5,100,100,100,69,9
"ssGSEA9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASMINE9",93,79,46,15,9,100,96,66,9,28,100,98,80,12,49,100,99,95,8,68,100,100,99,9,74,100,100,100,10,100,100,100,100,30,100,100,100,100,34,100,100,100,100,48,100,100,100,100,42,100
"AUCell9",91,80,45,12,67,100,100,73,13,96,100,98,88,13,100,100,100,96,16,100,100,100,100,13,100,100,100,100,22,100,100,100,100,35,100,100,100,100,49,100,100,100,100,60,100,100,100,100,63,100
"UCell9",66,53,29,8,13,95,83,50,5,30,100,92,61,7,38,100,100,73,7,44,100,100,84,6,44,100,100,99,10,76,100,100,100,27,98,100,100,100,31,100,100,100,100,42,100,100,100,100,38,100
"scPS9",95,95,77,41,1,100,100,94,64,1,100,100,96,77,6,100,100,99,89,2,100,100,100,89,3,100,100,100,98,2,99,100,100,100,2,99,100,100,100,2,99,100,100,100,3,99,100,100,100,5
"SCSE9",22,14,13,4,1,39,29,11,5,2,47,35,21,3,15,62,47,25,4,19,80,54,28,2,15,98,88,44,4,40,100,100,84,7,72,100,100,95,8,91,100,100,100,12,98,100,100,98,10,97
"AddModuleScore9",22,19,22,25,1,25,28,22,19,1,28,30,33,16,4,35,46,44,17,2,48,55,40,14,3,49,100,94,24,3,78,100,100,47,4,92,100,100,49,6,99,100,100,61,7,100,100,100,68,5
