"","count","geneset","methods"
"1",0,"GS-10-0-","ssGSEA"
"2",54,"GS-10-0-","JASMINE"
"3",87,"GS-10-0-","AUCell"
"4",55,"GS-10-0-","UCell"
"5",94,"GS-10-0-","scPS"
"6",22,"GS-10-0-","SCSE"
"7",18,"GS-10-0-","AddModuleScore"
"8",0,"GS-10-0-","ssGSEA1"
"9",50,"GS-10-0-","JASMINE1"
"10",93,"GS-10-0-","AUCell1"
"11",61,"GS-10-0-","UCell1"
"12",94,"GS-10-0-","scPS1"
"13",22,"GS-10-0-","SCSE1"
"14",24,"GS-10-0-","AddModuleScore1"
"15",0,"GS-10-0-","ssGSEA2"
"16",54,"GS-10-0-","JASMINE2"
"17",92,"GS-10-0-","AUCell2"
"18",57,"GS-10-0-","UCell2"
"19",95,"GS-10-0-","scPS2"
"20",10,"GS-10-0-","SCSE2"
"21",17,"GS-10-0-","AddModuleScore2"
"22",0,"GS-10-0-","ssGSEA3"
"23",67,"GS-10-0-","JASMINE3"
"24",92,"GS-10-0-","AUCell3"
"25",62,"GS-10-0-","UCell3"
"26",91,"GS-10-0-","scPS3"
"27",18,"GS-10-0-","SCSE3"
"28",27,"GS-10-0-","AddModuleScore3"
"29",0,"GS-10-0-","ssGSEA4"
"30",82,"GS-10-0-","JASMINE4"
"31",94,"GS-10-0-","AUCell4"
"32",66,"GS-10-0-","UCell4"
"33",99,"GS-10-0-","scPS4"
"34",24,"GS-10-0-","SCSE4"
"35",27,"GS-10-0-","AddModuleScore4"
"36",0,"GS-10-0-","ssGSEA5"
"37",62,"GS-10-0-","JASMINE5"
"38",88,"GS-10-0-","AUCell5"
"39",65,"GS-10-0-","UCell5"
"40",97,"GS-10-0-","scPS5"
"41",22,"GS-10-0-","SCSE5"
"42",14,"GS-10-0-","AddModuleScore5"
"43",0,"GS-10-0-","ssGSEA6"
"44",85,"GS-10-0-","JASMINE6"
"45",86,"GS-10-0-","AUCell6"
"46",63,"GS-10-0-","UCell6"
"47",96,"GS-10-0-","scPS6"
"48",22,"GS-10-0-","SCSE6"
"49",32,"GS-10-0-","AddModuleScore6"
"50",0,"GS-10-0-","ssGSEA7"
"51",88,"GS-10-0-","JASMINE7"
"52",90,"GS-10-0-","AUCell7"
"53",60,"GS-10-0-","UCell7"
"54",100,"GS-10-0-","scPS7"
"55",11,"GS-10-0-","SCSE7"
"56",26,"GS-10-0-","AddModuleScore7"
"57",0,"GS-10-0-","ssGSEA8"
"58",75,"GS-10-0-","JASMINE8"
"59",98,"GS-10-0-","AUCell8"
"60",64,"GS-10-0-","UCell8"
"61",97,"GS-10-0-","scPS8"
"62",24,"GS-10-0-","SCSE8"
"63",26,"GS-10-0-","AddModuleScore8"
"64",0,"GS-10-0-","ssGSEA9"
"65",93,"GS-10-0-","JASMINE9"
"66",91,"GS-10-0-","AUCell9"
"67",66,"GS-10-0-","UCell9"
"68",95,"GS-10-0-","scPS9"
"69",22,"GS-10-0-","SCSE9"
"70",22,"GS-10-0-","AddModuleScore9"
"71",0,"GS-10-0.2-","ssGSEA"
"72",49,"GS-10-0.2-","JASMINE"
"73",73,"GS-10-0.2-","AUCell"
"74",46,"GS-10-0.2-","UCell"
"75",91,"GS-10-0.2-","scPS"
"76",16,"GS-10-0.2-","SCSE"
"77",24,"GS-10-0.2-","AddModuleScore"
"78",0,"GS-10-0.2-","ssGSEA1"
"79",59,"GS-10-0.2-","JASMINE1"
"80",81,"GS-10-0.2-","AUCell1"
"81",46,"GS-10-0.2-","UCell1"
"82",91,"GS-10-0.2-","scPS1"
"83",21,"GS-10-0.2-","SCSE1"
"84",28,"GS-10-0.2-","AddModuleScore1"
"85",0,"GS-10-0.2-","ssGSEA2"
"86",54,"GS-10-0.2-","JASMINE2"
"87",72,"GS-10-0.2-","AUCell2"
"88",40,"GS-10-0.2-","UCell2"
"89",84,"GS-10-0.2-","scPS2"
"90",5,"GS-10-0.2-","SCSE2"
"91",17,"GS-10-0.2-","AddModuleScore2"
"92",0,"GS-10-0.2-","ssGSEA3"
"93",69,"GS-10-0.2-","JASMINE3"
"94",83,"GS-10-0.2-","AUCell3"
"95",60,"GS-10-0.2-","UCell3"
"96",91,"GS-10-0.2-","scPS3"
"97",14,"GS-10-0.2-","SCSE3"
"98",27,"GS-10-0.2-","AddModuleScore3"
"99",0,"GS-10-0.2-","ssGSEA4"
"100",69,"GS-10-0.2-","JASMINE4"
"101",80,"GS-10-0.2-","AUCell4"
"102",48,"GS-10-0.2-","UCell4"
"103",91,"GS-10-0.2-","scPS4"
"104",25,"GS-10-0.2-","SCSE4"
"105",34,"GS-10-0.2-","AddModuleScore4"
"106",0,"GS-10-0.2-","ssGSEA5"
"107",59,"GS-10-0.2-","JASMINE5"
"108",83,"GS-10-0.2-","AUCell5"
"109",51,"GS-10-0.2-","UCell5"
"110",96,"GS-10-0.2-","scPS5"
"111",18,"GS-10-0.2-","SCSE5"
"112",25,"GS-10-0.2-","AddModuleScore5"
"113",0,"GS-10-0.2-","ssGSEA6"
"114",81,"GS-10-0.2-","JASMINE6"
"115",72,"GS-10-0.2-","AUCell6"
"116",57,"GS-10-0.2-","UCell6"
"117",91,"GS-10-0.2-","scPS6"
"118",15,"GS-10-0.2-","SCSE6"
"119",24,"GS-10-0.2-","AddModuleScore6"
"120",0,"GS-10-0.2-","ssGSEA7"
"121",83,"GS-10-0.2-","JASMINE7"
"122",74,"GS-10-0.2-","AUCell7"
"123",46,"GS-10-0.2-","UCell7"
"124",97,"GS-10-0.2-","scPS7"
"125",8,"GS-10-0.2-","SCSE7"
"126",20,"GS-10-0.2-","AddModuleScore7"
"127",0,"GS-10-0.2-","ssGSEA8"
"128",75,"GS-10-0.2-","JASMINE8"
"129",82,"GS-10-0.2-","AUCell8"
"130",53,"GS-10-0.2-","UCell8"
"131",95,"GS-10-0.2-","scPS8"
"132",19,"GS-10-0.2-","SCSE8"
"133",25,"GS-10-0.2-","AddModuleScore8"
"134",0,"GS-10-0.2-","ssGSEA9"
"135",79,"GS-10-0.2-","JASMINE9"
"136",80,"GS-10-0.2-","AUCell9"
"137",53,"GS-10-0.2-","UCell9"
"138",95,"GS-10-0.2-","scPS9"
"139",14,"GS-10-0.2-","SCSE9"
"140",19,"GS-10-0.2-","AddModuleScore9"
"141",0,"GS-10-0.5-","ssGSEA"
"142",21,"GS-10-0.5-","JASMINE"
"143",37,"GS-10-0.5-","AUCell"
"144",14,"GS-10-0.5-","UCell"
"145",74,"GS-10-0.5-","scPS"
"146",6,"GS-10-0.5-","SCSE"
"147",18,"GS-10-0.5-","AddModuleScore"
"148",0,"GS-10-0.5-","ssGSEA1"
"149",28,"GS-10-0.5-","JASMINE1"
"150",41,"GS-10-0.5-","AUCell1"
"151",22,"GS-10-0.5-","UCell1"
"152",69,"GS-10-0.5-","scPS1"
"153",12,"GS-10-0.5-","SCSE1"
"154",26,"GS-10-0.5-","AddModuleScore1"
"155",0,"GS-10-0.5-","ssGSEA2"
"156",29,"GS-10-0.5-","JASMINE2"
"157",35,"GS-10-0.5-","AUCell2"
"158",20,"GS-10-0.5-","UCell2"
"159",67,"GS-10-0.5-","scPS2"
"160",8,"GS-10-0.5-","SCSE2"
"161",30,"GS-10-0.5-","AddModuleScore2"
"162",0,"GS-10-0.5-","ssGSEA3"
"163",31,"GS-10-0.5-","JASMINE3"
"164",49,"GS-10-0.5-","AUCell3"
"165",24,"GS-10-0.5-","UCell3"
"166",81,"GS-10-0.5-","scPS3"
"167",13,"GS-10-0.5-","SCSE3"
"168",28,"GS-10-0.5-","AddModuleScore3"
"169",0,"GS-10-0.5-","ssGSEA4"
"170",37,"GS-10-0.5-","JASMINE4"
"171",48,"GS-10-0.5-","AUCell4"
"172",25,"GS-10-0.5-","UCell4"
"173",76,"GS-10-0.5-","scPS4"
"174",13,"GS-10-0.5-","SCSE4"
"175",29,"GS-10-0.5-","AddModuleScore4"
"176",0,"GS-10-0.5-","ssGSEA5"
"177",27,"GS-10-0.5-","JASMINE5"
"178",44,"GS-10-0.5-","AUCell5"
"179",15,"GS-10-0.5-","UCell5"
"180",76,"GS-10-0.5-","scPS5"
"181",8,"GS-10-0.5-","SCSE5"
"182",19,"GS-10-0.5-","AddModuleScore5"
"183",0,"GS-10-0.5-","ssGSEA6"
"184",48,"GS-10-0.5-","JASMINE6"
"185",45,"GS-10-0.5-","AUCell6"
"186",23,"GS-10-0.5-","UCell6"
"187",82,"GS-10-0.5-","scPS6"
"188",10,"GS-10-0.5-","SCSE6"
"189",24,"GS-10-0.5-","AddModuleScore6"
"190",0,"GS-10-0.5-","ssGSEA7"
"191",38,"GS-10-0.5-","JASMINE7"
"192",51,"GS-10-0.5-","AUCell7"
"193",23,"GS-10-0.5-","UCell7"
"194",88,"GS-10-0.5-","scPS7"
"195",6,"GS-10-0.5-","SCSE7"
"196",24,"GS-10-0.5-","AddModuleScore7"
"197",0,"GS-10-0.5-","ssGSEA8"
"198",36,"GS-10-0.5-","JASMINE8"
"199",42,"GS-10-0.5-","AUCell8"
"200",24,"GS-10-0.5-","UCell8"
"201",79,"GS-10-0.5-","scPS8"
"202",7,"GS-10-0.5-","SCSE8"
"203",18,"GS-10-0.5-","AddModuleScore8"
"204",0,"GS-10-0.5-","ssGSEA9"
"205",46,"GS-10-0.5-","JASMINE9"
"206",45,"GS-10-0.5-","AUCell9"
"207",29,"GS-10-0.5-","UCell9"
"208",77,"GS-10-0.5-","scPS9"
"209",13,"GS-10-0.5-","SCSE9"
"210",22,"GS-10-0.5-","AddModuleScore9"
"211",0,"GS-10-0.8-","ssGSEA"
"212",5,"GS-10-0.8-","JASMINE"
"213",6,"GS-10-0.8-","AUCell"
"214",6,"GS-10-0.8-","UCell"
"215",35,"GS-10-0.8-","scPS"
"216",6,"GS-10-0.8-","SCSE"
"217",34,"GS-10-0.8-","AddModuleScore"
"218",0,"GS-10-0.8-","ssGSEA1"
"219",14,"GS-10-0.8-","JASMINE1"
"220",13,"GS-10-0.8-","AUCell1"
"221",10,"GS-10-0.8-","UCell1"
"222",38,"GS-10-0.8-","scPS1"
"223",11,"GS-10-0.8-","SCSE1"
