"","GS-10-0-","GS-10-0.2-","GS-10-0.5-","GS-10-0.8-","GS-10-1-","GS-20-0-","GS-20-0.2-","GS-20-0.5-","GS-20-0.8-","GS-20-1-","GS-30-0-","GS-30-0.2-","GS-30-0.5-","GS-30-0.8-","GS-30-1-","GS-40-0-","GS-40-0.2-","GS-40-0.5-","GS-40-0.8-","GS-40-1-","GS-50-0-","GS-50-0.2-","GS-50-0.5-","GS-50-0.8-","GS-50-1-","GS-100-0-","GS-100-0.2-","GS-100-0.5-","GS-100-0.8-","GS-100-1-","GS-200-0-","GS-200-0.2-","GS-200-0.5-","GS-200-0.8-","GS-200-1-","GS-300-0-","GS-300-0.2-","GS-300-0.5-","GS-300-0.8-","GS-300-1-","GS-400-0-","GS-400-0.2-","GS-400-0.5-","GS-400-0.8-","GS-400-1-","GS-500-0-","GS-500-0.2-","GS-500-0.5-","GS-500-0.8-","GS-500-1-"
"ssGSEA",5,6,2,1,8,1,2,4,3,9,1,4,4,5,4,2,2,2,8,9,2,3,11,9,4,0,1,7,10,8,0,6,10,11,18,3,7,13,22,19,2,4,9,15,14,0,5,14,14,14
"JASMINE",0,2,0,3,2,0,1,2,0,4,0,0,0,3,2,0,2,0,5,4,0,1,5,3,1,0,1,4,8,5,0,4,7,8,15,0,5,9,23,22,0,5,14,15,18,0,4,12,16,27
"AUCell",1,1,0,1,2,0,0,2,0,6,2,0,1,2,1,0,2,0,7,4,0,1,7,5,2,0,1,4,8,6,0,5,7,10,12,0,5,9,20,24,0,4,12,14,13,0,2,10,15,19
"UCell",0,1,0,2,1,0,1,2,1,6,0,0,0,2,1,0,2,0,6,2,0,1,5,5,1,0,0,3,8,5,0,2,6,3,6,0,0,2,6,4,0,0,0,3,3,0,0,1,0,4
"scPS",1,1,0,2,1,0,1,2,2,6,0,0,0,2,1,0,2,1,6,3,2,1,7,6,1,0,1,4,11,7,0,5,7,10,12,0,5,7,18,17,0,4,9,12,13,0,3,9,11,19
"SCSE",1,1,0,3,2,0,1,2,1,8,2,1,0,2,4,0,2,3,6,4,1,1,5,7,2,1,0,6,9,7,1,4,6,8,12,4,5,9,21,21,1,4,10,16,14,0,10,19,13,15
"AddModuleScore",2,2,1,2,2,0,1,2,1,8,1,2,0,4,4,0,2,3,6,4,1,1,5,6,2,0,0,5,9,8,0,4,7,8,14,3,5,9,19,20,1,5,12,16,14,0,5,16,10,12
"ssGSEA1",4,3,3,4,8,2,4,1,2,3,1,3,4,3,4,0,0,5,8,4,1,1,2,0,5,0,0,4,7,5,4,6,12,14,11,13,8,14,9,10,17,7,9,11,10,12,14,10,13,10
"JASMINE1",0,0,0,2,4,0,0,0,2,2,0,0,0,3,1,0,0,2,3,3,0,1,1,0,3,0,1,3,3,2,0,1,8,10,6,0,2,8,5,7,0,3,6,11,11,0,4,6,13,8
"AUCell1",0,0,0,2,3,1,0,1,2,2,0,0,0,2,2,0,0,1,3,3,0,1,1,0,3,1,0,3,5,2,2,1,7,9,8,0,1,7,5,7,0,3,8,10,10,0,5,6,12,10
"UCell1",0,0,0,2,4,0,0,0,2,2,0,0,1,2,2,0,0,1,3,3,0,1,2,0,3,0,0,3,4,2,0,0,4,8,6,0,0,4,5,5,0,0,2,5,9,0,2,1,6,7
"scPS1",0,0,0,2,4,0,0,0,2,2,0,0,1,2,2,0,0,2,4,3,0,1,1,0,3,0,0,3,6,4,0,1,6,11,9,0,2,8,7,7,0,1,6,12,14,0,3,7,12,13
"SCSE1",0,0,0,2,4,0,0,0,2,2,0,0,1,2,1,0,0,1,3,3,0,1,1,0,3,0,0,3,4,2,0,0,6,9,6,0,1,8,4,6,0,0,6,11,10,0,4,4,13,7
"AddModuleScore1",0,0,1,2,3,1,0,0,2,3,0,1,1,2,2,0,0,1,2,3,0,1,1,0,2,0,0,3,4,2,0,1,9,9,7,1,2,9,4,6,0,1,5,11,9,0,5,5,13,8
"ssGSEA2",6,8,2,2,4,1,0,4,3,5,0,1,0,5,4,0,2,5,2,1,0,3,3,6,7,0,0,2,6,6,2,0,4,14,11,2,3,2,5,13,0,5,7,11,14,0,4,7,10,10
"JASMINE2",0,1,0,0,0,0,0,2,2,4,0,0,0,0,2,0,1,2,2,1,0,2,0,2,0,0,0,0,2,1,0,0,2,8,0,0,1,0,4,3,0,1,1,2,3,0,0,2,3,3
"AUCell2",0,1,0,0,0,0,0,2,2,3,0,0,0,0,2,0,1,3,2,1,0,2,1,3,0,0,0,1,3,1,0,0,2,7,2,0,1,1,4,2,0,0,3,3,3,0,0,2,4,2
"UCell2",0,1,0,0,0,0,0,2,2,4,0,0,0,1,2,0,1,3,2,1,0,2,0,3,0,0,0,1,2,1,0,0,0,3,4,0,1,0,1,1,0,0,0,0,3,0,0,0,1,1
"scPS2",0,1,0,0,0,0,0,2,2,4,0,0,0,1,2,0,1,3,2,1,0,2,0,3,0,0,0,1,2,2,0,0,2,6,5,0,1,2,3,4,0,0,3,3,8,0,0,1,6,3
"SCSE2",0,1,0,0,0,0,0,2,2,4,0,0,0,1,2,0,1,3,2,1,0,2,1,3,0,0,0,1,2,1,0,0,1,6,2,0,1,0,3,3,0,0,2,3,2,0,0,0,3,5
"AddModuleScore2",0,1,0,0,0,0,0,2,2,4,0,0,0,1,2,0,1,3,2,1,0,2,0,3,0,0,0,1,2,1,0,0,0,5,3,0,1,1,3,3,0,0,2,3,1,0,0,0,3,5
"ssGSEA3",12,12,8,5,9,3,0,2,3,7,0,1,2,2,8,0,2,2,4,6,0,0,2,6,5,1,0,4,5,9,0,0,4,9,13,0,4,5,9,11,0,2,7,14,20,0,3,5,7,17
"JASMINE3",6,4,2,6,2,3,3,6,3,3,3,4,8,4,8,1,4,7,4,7,3,7,4,3,7,6,9,7,4,7,16,10,12,12,15,24,21,23,16,15,55,41,21,22,16,93,37,21,14,18
"AUCell3",2,2,0,1,1,0,0,1,2,1,0,0,2,2,7,0,1,2,2,5,0,1,1,2,4,0,0,5,3,4,0,0,3,5,10,0,3,4,7,11,0,3,5,10,11,0,2,5,8,10
"UCell3",0,1,0,3,2,1,0,2,2,2,0,1,3,3,7,0,1,3,5,6,1,0,2,4,4,0,3,5,7,6,0,0,7,11,15,0,6,10,12,15,0,2,13,20,23,0,5,13,14,29
"scPS3",1,1,0,4,2,1,0,3,2,2,1,1,3,4,8,2,2,3,6,6,1,0,2,4,6,1,4,5,10,8,0,0,8,15,19,0,6,10,19,18,0,4,17,26,33,0,5,16,23,37
"SCSE3",3,2,0,2,2,2,1,2,3,3,1,2,5,2,9,1,1,5,4,7,3,1,2,4,4,6,3,8,3,6,8,4,4,6,8,14,11,9,6,11,22,12,7,8,13,41,21,10,9,11
"AddModuleScore3",1,2,1,3,1,0,1,1,3,1,0,0,3,2,7,0,1,1,3,5,0,0,2,2,4,1,0,2,3,4,0,0,2,5,8,1,3,2,2,7,0,2,5,6,8,0,1,5,5,9
"ssGSEA4",4,7,6,6,6,9,5,2,8,7,5,8,6,12,9,6,7,7,8,10,8,11,4,5,8,11,13,20,19,15,53,34,29,19,14,86,56,30,26,27,98,72,37,28,25,100,83,47,38,31
"JASMINE4",0,1,1,2,3,0,1,1,4,1,0,3,0,7,5,1,2,2,3,6,0,0,1,3,1,1,3,5,10,5,4,6,16,10,9,2,12,9,24,18,13,15,15,19,24,24,24,27,27,28
"AUCell4",1,1,0,3,3,1,1,2,3,1,0,1,1,7,8,0,3,2,5,8,1,3,3,3,2,3,3,5,11,5,5,12,14,10,11,12,17,16,21,14,25,25,15,16,17,58,33,22,20,24
"UCell4",0,0,0,1,2,0,1,1,2,2,0,2,1,8,4,0,2,1,3,7,0,1,2,2,2,0,0,4,7,4,0,0,1,2,3,0,0,2,3,2,0,0,0,2,3,0,0,0,2,4
"scPS4",0,0,0,2,3,0,1,1,3,1,0,1,1,7,5,0,2,2,3,8,0,1,1,3,2,0,1,5,10,6,0,1,10,8,7,0,0,3,12,11,0,2,4,10,18,0,1,7,9,20
"SCSE4",1,2,0,3,4,1,2,2,4,3,1,4,2,10,7,0,4,3,5,10,0,3,2,4,4,3,4,9,9,7,23,14,19,11,9,30,24,15,18,11,66,46,16,16,18,97,49,24,20,22
"AddModuleScore4",2,1,1,3,3,2,2,2,4,2,1,4,1,10,6,1,3,2,5,9,1,4,2,4,4,4,3,10,11,8,17,13,14,12,10,26,23,11,18,11,54,42,15,15,19,89,41,23,21,22
"ssGSEA5",9,6,7,9,5,3,1,3,5,8,4,4,3,10,9,3,2,9,6,8,5,5,8,9,6,14,10,10,10,9,16,23,19,19,21,48,37,21,27,19,69,52,33,23,29,100,57,23,21,23
"JASMINE5",0,1,5,4,3,1,0,1,4,5,0,0,3,6,3,3,2,4,3,6,1,1,6,2,1,3,6,4,7,5,9,12,11,12,10,25,23,13,19,12,46,37,22,18,26,91,59,36,29,26
"AUCell5",2,1,4,6,2,2,2,1,3,5,4,4,4,9,3,3,3,4,4,3,1,3,5,2,2,2,3,6,4,4,7,14,9,15,10,19,16,12,22,12,40,34,16,15,19,91,45,20,18,23
"UCell5",1,1,4,3,1,0,0,1,2,4,1,2,2,4,3,1,2,3,3,2,0,1,4,3,0,0,1,3,3,3,0,1,1,4,4,0,0,0,3,3,0,0,0,1,6,0,0,0,0,2
"scPS5",0,1,4,3,3,0,0,1,2,5,1,2,2,5,3,1,0,4,3,2,0,1,4,3,1,0,2,3,5,3,0,6,5,8,10,0,1,5,13,8,0,4,6,10,16,0,4,8,12,13
"SCSE5",0,1,4,3,4,0,0,1,4,5,2,3,5,5,5,4,3,7,5,7,2,2,6,4,3,5,5,7,6,7,13,10,11,18,14,25,22,13,18,12,37,36,21,16,24,83,48,23,26,21
"AddModuleScore5",3,2,5,6,3,1,1,3,3,5,2,5,5,5,5,6,2,6,5,6,6,4,5,6,3,6,9,7,7,4,13,14,13,17,15,26,25,15,18,12,41,39,23,18,25,82,52,25,26,20
"ssGSEA6",6,7,7,7,3,3,1,9,1,2,3,2,4,5,8,4,3,8,8,4,3,2,2,5,5,3,3,5,8,1,9,7,12,11,11,26,19,10,14,10,49,16,17,6,13,70,35,17,14,17
"JASMINE6",0,1,1,0,1,0,1,3,0,0,1,0,1,1,3,0,0,2,4,2,0,1,1,0,3,0,1,2,4,1,0,0,3,5,3,0,1,4,6,8,0,2,4,7,9,0,2,4,5,14
"AUCell6",0,1,0,0,1,1,1,3,0,0,0,1,1,1,4,0,0,2,3,1,0,2,1,2,3,0,1,2,3,1,1,0,3,5,3,0,1,4,9,8,0,0,5,6,7,0,2,5,4,11
"UCell6",0,1,0,0,1,0,1,3,0,0,0,0,1,2,4,0,0,2,4,1,0,0,1,2,3,0,1,1,3,1,0,0,1,6,2,0,0,0,1,7,0,0,0,2,5,0,0,0,0,5
"scPS6",0,1,0,0,1,0,1,3,0,0,0,0,1,2,4,0,0,2,3,1,0,1,1,2,3,0,1,2,3,1,0,0,3,5,2,0,1,3,8,9,0,0,4,6,8,0,0,1,4,9
"SCSE6",0,1,1,0,1,1,1,3,1,1,2,1,1,1,4,1,0,2,4,1,0,1,2,2,3,0,1,4,3,1,5,2,6,5,3,5,6,5,5,8,8,1,8,3,8,9,9,4,2,11
"AddModuleScore6",0,1,0,1,1,1,1,3,0,1,2,1,1,2,4,1,0,2,4,1,0,1,1,2,3,0,1,3,3,1,5,2,6,5,3,4,6,7,5,8,3,1,7,3,8,3,6,3,3,11
"ssGSEA7",17,19,16,13,19,4,6,9,4,4,3,3,7,4,4,0,1,5,10,7,2,4,6,10,5,6,10,8,7,11,7,14,11,18,15,14,16,11,20,22,18,19,15,19,18,35,14,18,18,20
"JASMINE7",1,3,2,2,5,1,1,3,0,5,2,1,3,3,8,0,1,3,2,5,1,2,3,6,4,2,6,12,9,12,8,9,14,14,15,8,17,17,22,27,8,19,22,32,32,9,21,33,35,27
"AUCell7",1,2,1,2,2,0,0,1,0,2,1,0,3,3,6,0,0,1,2,4,1,1,2,3,1,3,5,7,4,10,0,3,8,11,13,5,11,8,13,24,5,16,14,20,20,4,11,13,20,17
