"","GS-10-0-","GS-10-0.2-","GS-10-0.5-","GS-10-0.8-","GS-10-1-","GS-20-0-","GS-20-0.2-","GS-20-0.5-","GS-20-0.8-","GS-20-1-","GS-30-0-","GS-30-0.2-","GS-30-0.5-","GS-30-0.8-","GS-30-1-","GS-40-0-","GS-40-0.2-","GS-40-0.5-","GS-40-0.8-","GS-40-1-","GS-50-0-","GS-50-0.2-","GS-50-0.5-","GS-50-0.8-","GS-50-1-","GS-100-0-","GS-100-0.2-","GS-100-0.5-","GS-100-0.8-","GS-100-1-","GS-200-0-","GS-200-0.2-","GS-200-0.5-","GS-200-0.8-","GS-200-1-","GS-300-0-","GS-300-0.2-","GS-300-0.5-","GS-300-0.8-","GS-300-1-","GS-400-0-","GS-400-0.2-","GS-400-0.5-","GS-400-0.8-","GS-400-1-","GS-500-0-","GS-500-0.2-","GS-500-0.5-","GS-500-0.8-","GS-500-1-"
"ssGSEA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASMINE",14,10,15,7,4,56,44,22,9,6,81,60,36,11,3,98,83,49,17,2,99,94,67,17,5,100,100,96,37,1,100,100,100,62,3,100,100,100,70,12,100,100,100,87,18,100,100,100,95,18
"AUCell",17,15,12,6,2,55,41,17,10,7,75,55,28,10,1,93,74,36,11,3,97,90,49,5,2,100,100,77,17,0,100,100,97,32,5,100,100,100,47,4,100,100,100,57,8,100,100,100,57,3
"UCell",6,6,7,1,0,7,8,8,2,0,12,9,2,3,0,11,4,4,0,0,6,2,1,0,0,4,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"scPS",9,9,11,5,3,35,28,17,7,1,49,35,16,7,2,54,35,21,6,0,57,48,26,9,1,90,77,44,16,1,100,97,64,16,3,100,99,83,30,0,100,100,94,26,1,100,100,95,25,0
"SCSE",9,7,10,4,3,29,28,16,7,1,43,33,15,7,1,48,33,19,5,1,54,46,24,6,1,90,77,39,10,1,100,97,70,17,6,100,100,84,28,1,100,100,94,26,5,100,100,98,30,3
"AddModuleScore",9,9,10,4,2,30,25,14,7,1,40,33,15,7,1,47,33,18,5,1,54,43,25,8,1,90,77,41,11,1,100,97,69,16,5,100,100,84,26,1,100,100,95,28,4,100,100,98,31,4
"ssGSEA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASMINE1",24,23,10,4,4,59,44,23,12,4,79,57,37,10,6,91,82,56,17,5,92,92,54,17,5,100,100,89,22,8,100,100,100,53,9,100,100,100,70,9,100,100,100,79,20,100,100,100,90,15
"AUCell1",19,19,11,2,3,47,37,18,11,2,68,49,25,7,7,84,70,38,11,0,82,77,35,9,5,100,98,66,9,3,100,100,93,27,3,100,100,99,40,1,100,100,100,45,4,100,100,100,60,6
"UCell1",19,17,9,2,3,31,22,14,4,2,45,28,14,5,2,41,27,11,2,0,35,25,9,3,1,30,23,10,6,2,44,29,13,6,2,54,37,16,4,1,88,63,19,6,0,100,65,27,5,1
"scPS1",21,19,10,2,4,40,29,20,9,4,59,40,24,8,2,63,59,31,15,0,67,61,26,15,1,91,82,62,19,3,99,98,89,39,6,100,100,93,49,5,100,100,99,60,3,100,100,100,70,3
