"","GS-10-0-","GS-10-0.2-","GS-10-0.5-","GS-10-0.8-","GS-10-1-","GS-20-0-","GS-20-0.2-","GS-20-0.5-","GS-20-0.8-","GS-20-1-","GS-30-0-","GS-30-0.2-","GS-30-0.5-","GS-30-0.8-","GS-30-1-","GS-40-0-","GS-40-0.2-","GS-40-0.5-","GS-40-0.8-","GS-40-1-","GS-50-0-","GS-50-0.2-","GS-50-0.5-","GS-50-0.8-","GS-50-1-","GS-100-0-","GS-100-0.2-","GS-100-0.5-","GS-100-0.8-","GS-100-1-","GS-200-0-","GS-200-0.2-","GS-200-0.5-","GS-200-0.8-","GS-200-1-","GS-300-0-","GS-300-0.2-","GS-300-0.5-","GS-300-0.8-","GS-300-1-","GS-400-0-","GS-400-0.2-","GS-400-0.5-","GS-400-0.8-","GS-400-1-","GS-500-0-","GS-500-0.2-","GS-500-0.5-","GS-500-0.8-","GS-500-1-"
"ssGSEA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASMINE",41,31,11,5,4,91,68,44,12,5,99,97,62,17,5,100,98,79,21,9,100,100,91,18,7,100,100,100,48,16,100,100,100,72,30,100,100,100,94,52,100,100,100,99,69,100,100,100,100,80
"AUCell",75,59,27,8,3,98,84,53,13,8,100,97,73,21,5,100,100,85,27,10,100,100,91,24,7,100,100,99,41,16,100,100,100,61,25,100,100,100,82,34,100,100,100,89,39,100,100,100,93,62
"UCell",1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"scPS",6,6,2,3,3,19,6,8,4,2,29,20,12,7,1,31,21,4,3,1,41,36,19,3,0,71,47,18,3,1,93,77,49,11,0,99,92,63,8,0,100,100,62,5,1,100,100,69,12,1
"SCSE",6,7,2,1,2,11,5,6,3,2,22,16,8,4,1,24,13,3,2,2,31,21,11,3,0,66,40,9,0,2,91,72,33,3,1,99,93,52,2,3,100,100,58,5,1,100,100,70,8,5
"AddModuleScore",6,7,2,4,5,11,6,6,3,2,27,18,10,3,2,26,17,3,2,2,35,30,13,4,0,70,41,14,0,2,92,71,42,4,1,99,94,54,4,3,100,100,61,5,1,100,100,72,8,5
"ssGSEA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASMINE1",45,38,18,12,5,91,79,48,8,4,99,96,66,14,3,100,99,85,15,12,100,100,92,25,9,100,100,100,49,21,100,100,100,78,50,100,100,100,96,53,100,100,100,99,77,100,100,100,99,83
"AUCell1",74,62,41,12,8,98,92,65,14,6,99,99,76,19,4,100,99,87,20,9,100,100,92,23,6,100,100,100,40,15,100,100,100,73,35,100,100,100,86,40,100,100,100,96,57,100,100,100,99,70
