"","count","geneset","methods"
"1",0,"GS-10-0-","ssGSEA"
"2",41,"GS-10-0-","JASMINE"
"3",75,"GS-10-0-","AUCell"
"4",1,"GS-10-0-","UCell"
"5",6,"GS-10-0-","scPS"
"6",6,"GS-10-0-","SCSE"
"7",6,"GS-10-0-","AddModuleScore"
"8",0,"GS-10-0-","ssGSEA1"
"9",45,"GS-10-0-","JASMINE1"
"10",74,"GS-10-0-","AUCell1"
"11",1,"GS-10-0-","UCell1"
"12",14,"GS-10-0-","scPS1"
"13",9,"GS-10-0-","SCSE1"
"14",11,"GS-10-0-","AddModuleScore1"
"15",0,"GS-10-0-","ssGSEA2"
"16",48,"GS-10-0-","JASMINE2"
"17",80,"GS-10-0-","AUCell2"
"18",8,"GS-10-0-","UCell2"
"19",24,"GS-10-0-","scPS2"
"20",25,"GS-10-0-","SCSE2"
"21",23,"GS-10-0-","AddModuleScore2"
"22",0,"GS-10-0-","ssGSEA3"
"23",38,"GS-10-0-","JASMINE3"
"24",70,"GS-10-0-","AUCell3"
"25",2,"GS-10-0-","UCell3"
"26",14,"GS-10-0-","scPS3"
"27",14,"GS-10-0-","SCSE3"
"28",14,"GS-10-0-","AddModuleScore3"
"29",0,"GS-10-0-","ssGSEA4"
"30",51,"GS-10-0-","JASMINE4"
"31",80,"GS-10-0-","AUCell4"
"32",19,"GS-10-0-","UCell4"
"33",19,"GS-10-0-","scPS4"
"34",10,"GS-10-0-","SCSE4"
"35",10,"GS-10-0-","AddModuleScore4"
"36",0,"GS-10-0-","ssGSEA5"
"37",41,"GS-10-0-","JASMINE5"
"38",74,"GS-10-0-","AUCell5"
"39",2,"GS-10-0-","UCell5"
"40",17,"GS-10-0-","scPS5"
"41",19,"GS-10-0-","SCSE5"
"42",16,"GS-10-0-","AddModuleScore5"
"43",0,"GS-10-0-","ssGSEA6"
"44",37,"GS-10-0-","JASMINE6"
"45",74,"GS-10-0-","AUCell6"
"46",1,"GS-10-0-","UCell6"
"47",9,"GS-10-0-","scPS6"
"48",7,"GS-10-0-","SCSE6"
"49",8,"GS-10-0-","AddModuleScore6"
"50",0,"GS-10-0-","ssGSEA7"
"51",30,"GS-10-0-","JASMINE7"
"52",68,"GS-10-0-","AUCell7"
"53",0,"GS-10-0-","UCell7"
"54",11,"GS-10-0-","scPS7"
"55",13,"GS-10-0-","SCSE7"
"56",11,"GS-10-0-","AddModuleScore7"
"57",0,"GS-10-0-","ssGSEA8"
"58",51,"GS-10-0-","JASMINE8"
"59",82,"GS-10-0-","AUCell8"
"60",10,"GS-10-0-","UCell8"
"61",10,"GS-10-0-","scPS8"
"62",9,"GS-10-0-","SCSE8"
"63",8,"GS-10-0-","AddModuleScore8"
"64",0,"GS-10-0-","ssGSEA9"
"65",37,"GS-10-0-","JASMINE9"
"66",70,"GS-10-0-","AUCell9"
"67",0,"GS-10-0-","UCell9"
"68",14,"GS-10-0-","scPS9"
"69",5,"GS-10-0-","SCSE9"
"70",10,"GS-10-0-","AddModuleScore9"
"71",0,"GS-10-0.2-","ssGSEA"
"72",31,"GS-10-0.2-","JASMINE"
"73",59,"GS-10-0.2-","AUCell"
"74",3,"GS-10-0.2-","UCell"
"75",6,"GS-10-0.2-","scPS"
"76",7,"GS-10-0.2-","SCSE"
"77",7,"GS-10-0.2-","AddModuleScore"
"78",0,"GS-10-0.2-","ssGSEA1"
"79",38,"GS-10-0.2-","JASMINE1"
"80",62,"GS-10-0.2-","AUCell1"
"81",2,"GS-10-0.2-","UCell1"
"82",11,"GS-10-0.2-","scPS1"
"83",8,"GS-10-0.2-","SCSE1"
"84",9,"GS-10-0.2-","AddModuleScore1"
"85",0,"GS-10-0.2-","ssGSEA2"
"86",39,"GS-10-0.2-","JASMINE2"
"87",65,"GS-10-0.2-","AUCell2"
"88",1,"GS-10-0.2-","UCell2"
"89",19,"GS-10-0.2-","scPS2"
"90",19,"GS-10-0.2-","SCSE2"
"91",19,"GS-10-0.2-","AddModuleScore2"
"92",0,"GS-10-0.2-","ssGSEA3"
"93",34,"GS-10-0.2-","JASMINE3"
"94",59,"GS-10-0.2-","AUCell3"
"95",2,"GS-10-0.2-","UCell3"
"96",10,"GS-10-0.2-","scPS3"
"97",9,"GS-10-0.2-","SCSE3"
"98",8,"GS-10-0.2-","AddModuleScore3"
"99",0,"GS-10-0.2-","ssGSEA4"
"100",39,"GS-10-0.2-","JASMINE4"
"101",65,"GS-10-0.2-","AUCell4"
"102",12,"GS-10-0.2-","UCell4"
"103",13,"GS-10-0.2-","scPS4"
"104",5,"GS-10-0.2-","SCSE4"
"105",6,"GS-10-0.2-","AddModuleScore4"
