"","GS-10-0-","GS-10-0.2-","GS-10-0.5-","GS-10-0.8-","GS-10-1-","GS-20-0-","GS-20-0.2-","GS-20-0.5-","GS-20-0.8-","GS-20-1-","GS-30-0-","GS-30-0.2-","GS-30-0.5-","GS-30-0.8-","GS-30-1-","GS-40-0-","GS-40-0.2-","GS-40-0.5-","GS-40-0.8-","GS-40-1-","GS-50-0-","GS-50-0.2-","GS-50-0.5-","GS-50-0.8-","GS-50-1-","GS-100-0-","GS-100-0.2-","GS-100-0.5-","GS-100-0.8-","GS-100-1-","GS-200-0-","GS-200-0.2-","GS-200-0.5-","GS-200-0.8-","GS-200-1-","GS-300-0-","GS-300-0.2-","GS-300-0.5-","GS-300-0.8-","GS-300-1-","GS-400-0-","GS-400-0.2-","GS-400-0.5-","GS-400-0.8-","GS-400-1-","GS-500-0-","GS-500-0.2-","GS-500-0.5-","GS-500-0.8-","GS-500-1-"
"ssGSEA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASMINE",100,100,97,48,6,100,100,100,86,21,100,100,100,96,41,100,100,100,99,70,100,100,100,100,83,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"AUCell",94,85,55,21,1,100,100,94,39,7,100,100,97,53,13,100,100,100,68,13,100,100,100,75,19,100,100,100,94,58,100,100,100,100,79,100,100,100,100,89,100,100,100,100,99,100,100,100,100,99
"UCell",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"scPS",100,99,98,72,3,100,100,100,86,4,100,100,100,94,6,100,100,100,99,3,100,100,100,100,6,100,100,100,100,4,98,99,100,100,2,94,100,100,100,2,89,99,100,100,1,77,90,100,100,1
"SCSE",90,84,73,42,3,100,99,89,41,9,100,99,95,51,14,100,100,98,70,19,100,100,99,77,31,100,100,100,94,71,100,100,100,100,87,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100
"AddModuleScore",63,63,62,70,4,58,79,69,57,5,76,92,86,54,4,86,100,98,62,2,89,100,99,71,4,100,100,100,95,2,100,100,100,100,2,100,100,100,100,3,100,100,100,100,1,100,100,100,100,3
"ssGSEA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASMINE1",100,100,99,58,11,100,100,100,90,19,100,100,100,94,35,100,100,100,100,60,100,100,100,100,79,100,100,100,100,97,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"AUCell1",100,96,79,39,11,100,100,99,53,6,100,100,100,77,11,100,100,100,88,28,100,100,100,94,33,100,100,100,99,58,100,100,100,100,95,100,100,100,100,98,100,100,100,100,100,100,100,100,100,100
"UCell1",56,57,44,22,5,66,65,47,29,5,80,75,49,32,2,86,76,54,26,10,98,90,64,30,6,100,97,91,35,9,100,100,100,51,11,100,100,100,67,2,100,100,100,73,5,100,100,100,81,5
"scPS1",100,100,99,83,6,100,100,100,98,7,100,100,100,100,2,100,100,100,100,3,100,100,100,100,5,100,100,100,100,4,99,99,100,100,3,97,99,100,100,5,91,96,100,100,4,80,93,100,100,6
"SCSE1",96,90,74,41,7,100,100,88,54,8,100,100,98,59,8,100,100,99,76,23,100,100,100,81,30,100,100,100,99,57,100,100,100,100,89,100,100,100,100,95,100,100,100,100,100,100,100,100,100,100
"AddModuleScore1",53,54,59,57,4,62,81,71,51,5,63,97,96,64,2,78,100,99,70,4,86,100,100,74,4,98,100,100,100,4,100,100,100,100,4,100,100,100,100,4,100,100,100,100,3,100,100,100,100,3
"ssGSEA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASMINE2",100,100,97,51,6,100,100,100,84,21,100,100,100,95,27,100,100,100,100,52,100,100,100,100,70,100,100,100,100,98,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
