"","GS-10-0-","GS-10-0.2-","GS-10-0.5-","GS-10-0.8-","GS-10-1-","GS-20-0-","GS-20-0.2-","GS-20-0.5-","GS-20-0.8-","GS-20-1-","GS-30-0-","GS-30-0.2-","GS-30-0.5-","GS-30-0.8-","GS-30-1-","GS-40-0-","GS-40-0.2-","GS-40-0.5-","GS-40-0.8-","GS-40-1-","GS-50-0-","GS-50-0.2-","GS-50-0.5-","GS-50-0.8-","GS-50-1-","GS-100-0-","GS-100-0.2-","GS-100-0.5-","GS-100-0.8-","GS-100-1-","GS-200-0-","GS-200-0.2-","GS-200-0.5-","GS-200-0.8-","GS-200-1-","GS-300-0-","GS-300-0.2-","GS-300-0.5-","GS-300-0.8-","GS-300-1-","GS-400-0-","GS-400-0.2-","GS-400-0.5-","GS-400-0.8-","GS-400-1-","GS-500-0-","GS-500-0.2-","GS-500-0.5-","GS-500-0.8-","GS-500-1-"
"ssGSEA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASMINE",100,98,84,23,8,100,100,100,52,16,100,100,100,65,27,100,100,100,84,38,100,100,100,88,49,100,100,100,100,87,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"AUCell",96,88,56,22,18,100,100,90,32,23,100,100,97,38,39,100,100,100,57,58,100,100,100,64,72,100,100,100,88,97,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"UCell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"scPS",79,78,65,30,7,96,96,92,46,4,94,96,94,57,6,98,100,99,79,4,95,98,100,89,2,98,99,100,96,4,98,98,99,100,7,100,98,100,100,2,100,100,100,100,2,99,100,100,100,6
"SCSE",15,13,4,4,3,37,31,19,5,1,43,38,32,4,3,63,45,25,5,6,69,59,36,13,2,94,81,54,12,6,100,100,86,22,17,100,100,97,35,24,100,100,100,49,22,100,100,100,54,29
"AddModuleScore",17,15,13,7,3,27,46,37,7,1,31,65,56,15,2,31,86,74,14,2,45,94,86,30,1,61,100,100,58,3,95,100,100,97,7,99,100,100,99,4,100,100,100,100,4,100,100,100,100,7
"ssGSEA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASMINE1",99,100,88,27,12,100,100,100,51,32,100,100,100,77,39,100,100,100,90,55,100,100,100,94,67,100,100,100,100,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"AUCell1",89,84,67,26,13,99,99,91,31,34,100,100,95,45,46,100,100,100,58,58,100,100,100,62,73,100,100,100,92,97,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"UCell1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"scPS1",83,68,60,39,5,87,93,87,48,5,93,97,91,49,3,85,94,99,72,1,86,97,97,71,4,93,99,99,96,7,82,97,98,99,3,89,94,100,100,1,82,95,98,100,0,87,95,95,100,2
"SCSE1",39,31,22,9,3,70,48,29,9,7,85,66,48,11,6,87,84,60,21,4,95,89,64,20,11,100,99,92,36,22,100,100,100,54,25,100,100,100,71,40,100,100,100,75,60,100,100,100,89,60
"AddModuleScore1",16,22,19,7,2,23,35,24,12,2,28,65,54,10,3,32,86,73,17,1,42,94,84,23,4,63,100,100,62,6,93,100,100,94,1,100,100,100,100,6,100,100,100,100,4,100,100,100,100,9
"ssGSEA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASMINE2",99,98,90,18,20,100,100,99,66,26,100,100,100,76,37,100,100,100,84,61,100,100,100,89,68,100,100,100,100,92,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"AUCell2",82,73,63,19,13,99,98,72,41,23,100,98,89,41,40,100,100,97,38,48,100,100,100,50,66,100,100,100,85,93,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"UCell2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"scPS2",81,76,53,34,4,84,97,75,45,2,86,93,89,42,5,86,98,93,55,2,88,94,94,66,2,89,96,100,89,6,86,91,100,94,1,95,93,98,100,2,93,92,97,99,1,89,96,98,99,1
"SCSE2",20,18,15,13,4,54,41,17,13,3,74,54,41,9,3,78,76,38,12,4,81,76,49,9,7,100,98,77,26,15,100,100,96,35,13,100,100,100,55,29,100,100,100,70,41,100,100,100,79,54
"AddModuleScore2",7,5,14,11,2,16,27,24,13,2,31,60,45,9,4,32,79,56,14,1,27,91,75,22,2,56,100,99,54,6,84,100,100,79,3,99,100,100,95,3,100,100,100,100,3,100,100,100,100,5
"ssGSEA3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASMINE3",100,100,86,19,23,100,100,100,54,52,100,100,100,79,49,100,100,100,89,66,100,100,100,91,73,100,100,100,100,96,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"AUCell3",93,87,62,17,20,99,97,80,29,35,100,99,97,43,47,100,100,99,47,63,100,100,100,59,76,100,100,100,88,98,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"UCell3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"scPS3",91,87,59,32,4,98,94,85,48,2,98,100,93,56,2,92,99,98,65,4,97,100,100,67,5,99,100,100,97,2,90,99,100,99,2,98,100,100,100,6,91,98,100,100,2,88,100,100,100,2
