"","count","geneset","methods"
"1",0,"GS-10-0-","ssGSEA"
"2",100,"GS-10-0-","JASMINE"
"3",96,"GS-10-0-","AUCell"
"4",0,"GS-10-0-","UCell"
"5",79,"GS-10-0-","scPS"
"6",15,"GS-10-0-","SCSE"
"7",17,"GS-10-0-","AddModuleScore"
"8",0,"GS-10-0-","ssGSEA1"
"9",99,"GS-10-0-","JASMINE1"
"10",89,"GS-10-0-","AUCell1"
"11",0,"GS-10-0-","UCell1"
"12",83,"GS-10-0-","scPS1"
"13",39,"GS-10-0-","SCSE1"
"14",16,"GS-10-0-","AddModuleScore1"
"15",0,"GS-10-0-","ssGSEA2"
"16",99,"GS-10-0-","JASMINE2"
"17",82,"GS-10-0-","AUCell2"
"18",0,"GS-10-0-","UCell2"
"19",81,"GS-10-0-","scPS2"
"20",20,"GS-10-0-","SCSE2"
"21",7,"GS-10-0-","AddModuleScore2"
"22",0,"GS-10-0-","ssGSEA3"
"23",100,"GS-10-0-","JASMINE3"
"24",93,"GS-10-0-","AUCell3"
"25",0,"GS-10-0-","UCell3"
"26",91,"GS-10-0-","scPS3"
"27",47,"GS-10-0-","SCSE3"
"28",16,"GS-10-0-","AddModuleScore3"
"29",0,"GS-10-0-","ssGSEA4"
"30",100,"GS-10-0-","JASMINE4"
"31",90,"GS-10-0-","AUCell4"
"32",20,"GS-10-0-","UCell4"
"33",94,"GS-10-0-","scPS4"
"34",3,"GS-10-0-","SCSE4"
"35",12,"GS-10-0-","AddModuleScore4"
"36",0,"GS-10-0-","ssGSEA5"
"37",100,"GS-10-0-","JASMINE5"
"38",96,"GS-10-0-","AUCell5"
"39",0,"GS-10-0-","UCell5"
"40",90,"GS-10-0-","scPS5"
"41",70,"GS-10-0-","SCSE5"
"42",15,"GS-10-0-","AddModuleScore5"
"43",0,"GS-10-0-","ssGSEA6"
"44",99,"GS-10-0-","JASMINE6"
"45",92,"GS-10-0-","AUCell6"
"46",0,"GS-10-0-","UCell6"
"47",83,"GS-10-0-","scPS6"
"48",32,"GS-10-0-","SCSE6"
"49",21,"GS-10-0-","AddModuleScore6"
"50",0,"GS-10-0-","ssGSEA7"
"51",100,"GS-10-0-","JASMINE7"
"52",89,"GS-10-0-","AUCell7"
"53",0,"GS-10-0-","UCell7"
"54",90,"GS-10-0-","scPS7"
"55",37,"GS-10-0-","SCSE7"
"56",8,"GS-10-0-","AddModuleScore7"
"57",0,"GS-10-0-","ssGSEA8"
"58",100,"GS-10-0-","JASMINE8"
"59",91,"GS-10-0-","AUCell8"
"60",0,"GS-10-0-","UCell8"
"61",91,"GS-10-0-","scPS8"
"62",46,"GS-10-0-","SCSE8"
"63",18,"GS-10-0-","AddModuleScore8"
"64",0,"GS-10-0-","ssGSEA9"
"65",100,"GS-10-0-","JASMINE9"
"66",95,"GS-10-0-","AUCell9"
"67",0,"GS-10-0-","UCell9"
"68",94,"GS-10-0-","scPS9"
"69",16,"GS-10-0-","SCSE9"
"70",10,"GS-10-0-","AddModuleScore9"
