"","count","geneset","methods"
"1",28,"GS-10-0-","ssGSEA"
"2",94,"GS-10-0-","JASMINE"
"3",100,"GS-10-0-","AUCell"
"4",67,"GS-10-0-","UCell"
"5",0,"GS-10-0-","scPS"
"6",100,"GS-10-0-","SCSE"
"7",100,"GS-10-0-","AddModuleScore"
"8",14,"GS-10-0-","ssGSEA1"
"9",98,"GS-10-0-","JASMINE1"
"10",100,"GS-10-0-","AUCell1"
"11",52,"GS-10-0-","UCell1"
"12",0,"GS-10-0-","scPS1"
"13",100,"GS-10-0-","SCSE1"
"14",100,"GS-10-0-","AddModuleScore1"
"15",18,"GS-10-0-","ssGSEA2"
"16",100,"GS-10-0-","JASMINE2"
"17",100,"GS-10-0-","AUCell2"
"18",60,"GS-10-0-","UCell2"
"19",1,"GS-10-0-","scPS2"
"20",100,"GS-10-0-","SCSE2"
"21",100,"GS-10-0-","AddModuleScore2"
"22",3,"GS-10-0-","ssGSEA3"
"23",92,"GS-10-0-","JASMINE3"
"24",100,"GS-10-0-","AUCell3"
"25",28,"GS-10-0-","UCell3"
"26",2,"GS-10-0-","scPS3"
"27",100,"GS-10-0-","SCSE3"
"28",100,"GS-10-0-","AddModuleScore3"
"29",30,"GS-10-0-","ssGSEA4"
"30",98,"GS-10-0-","JASMINE4"
"31",100,"GS-10-0-","AUCell4"
"32",79,"GS-10-0-","UCell4"
"33",3,"GS-10-0-","scPS4"
"34",100,"GS-10-0-","SCSE4"
"35",100,"GS-10-0-","AddModuleScore4"
"36",32,"GS-10-0-","ssGSEA5"
"37",100,"GS-10-0-","JASMINE5"
"38",100,"GS-10-0-","AUCell5"
"39",90,"GS-10-0-","UCell5"
"40",1,"GS-10-0-","scPS5"
"41",100,"GS-10-0-","SCSE5"
"42",100,"GS-10-0-","AddModuleScore5"
"43",9,"GS-10-0-","ssGSEA6"
"44",97,"GS-10-0-","JASMINE6"
"45",100,"GS-10-0-","AUCell6"
"46",45,"GS-10-0-","UCell6"
"47",0,"GS-10-0-","scPS6"
"48",100,"GS-10-0-","SCSE6"
"49",100,"GS-10-0-","AddModuleScore6"
"50",4,"GS-10-0-","ssGSEA7"
"51",98,"GS-10-0-","JASMINE7"
"52",100,"GS-10-0-","AUCell7"
"53",41,"GS-10-0-","UCell7"
"54",4,"GS-10-0-","scPS7"
"55",100,"GS-10-0-","SCSE7"
"56",100,"GS-10-0-","AddModuleScore7"
"57",11,"GS-10-0-","ssGSEA8"
"58",100,"GS-10-0-","JASMINE8"
"59",100,"GS-10-0-","AUCell8"
"60",56,"GS-10-0-","UCell8"
"61",1,"GS-10-0-","scPS8"
"62",100,"GS-10-0-","SCSE8"
"63",100,"GS-10-0-","AddModuleScore8"
"64",3,"GS-10-0-","ssGSEA9"
"65",98,"GS-10-0-","JASMINE9"
"66",100,"GS-10-0-","AUCell9"
"67",18,"GS-10-0-","UCell9"
"68",10,"GS-10-0-","scPS9"
"69",100,"GS-10-0-","SCSE9"
"70",100,"GS-10-0-","AddModuleScore9"
"71",37,"GS-10-0.2-","ssGSEA"
"72",98,"GS-10-0.2-","JASMINE"
"73",98,"GS-10-0.2-","AUCell"
"74",58,"GS-10-0.2-","UCell"
"75",7,"GS-10-0.2-","scPS"
"76",98,"GS-10-0.2-","SCSE"
"77",98,"GS-10-0.2-","AddModuleScore"
"78",22,"GS-10-0.2-","ssGSEA1"
"79",94,"GS-10-0.2-","JASMINE1"
"80",98,"GS-10-0.2-","AUCell1"
"81",46,"GS-10-0.2-","UCell1"
"82",5,"GS-10-0.2-","scPS1"
"83",100,"GS-10-0.2-","SCSE1"
"84",100,"GS-10-0.2-","AddModuleScore1"
"85",33,"GS-10-0.2-","ssGSEA2"
"86",98,"GS-10-0.2-","JASMINE2"
"87",98,"GS-10-0.2-","AUCell2"
"88",52,"GS-10-0.2-","UCell2"
"89",9,"GS-10-0.2-","scPS2"
"90",98,"GS-10-0.2-","SCSE2"
"91",99,"GS-10-0.2-","AddModuleScore2"
"92",11,"GS-10-0.2-","ssGSEA3"
"93",98,"GS-10-0.2-","JASMINE3"
"94",98,"GS-10-0.2-","AUCell3"
"95",26,"GS-10-0.2-","UCell3"
"96",8,"GS-10-0.2-","scPS3"
"97",99,"GS-10-0.2-","SCSE3"
"98",99,"GS-10-0.2-","AddModuleScore3"
"99",45,"GS-10-0.2-","ssGSEA4"
"100",99,"GS-10-0.2-","JASMINE4"
"101",100,"GS-10-0.2-","AUCell4"
"102",75,"GS-10-0.2-","UCell4"
"103",6,"GS-10-0.2-","scPS4"
"104",99,"GS-10-0.2-","SCSE4"
"105",100,"GS-10-0.2-","AddModuleScore4"
"106",48,"GS-10-0.2-","ssGSEA5"
"107",100,"GS-10-0.2-","JASMINE5"
"108",100,"GS-10-0.2-","AUCell5"
"109",78,"GS-10-0.2-","UCell5"
"110",3,"GS-10-0.2-","scPS5"
"111",99,"GS-10-0.2-","SCSE5"
"112",99,"GS-10-0.2-","AddModuleScore5"
"113",17,"GS-10-0.2-","ssGSEA6"
"114",98,"GS-10-0.2-","JASMINE6"
"115",100,"GS-10-0.2-","AUCell6"
"116",38,"GS-10-0.2-","UCell6"
"117",2,"GS-10-0.2-","scPS6"
"118",99,"GS-10-0.2-","SCSE6"
"119",98,"GS-10-0.2-","AddModuleScore6"
"120",15,"GS-10-0.2-","ssGSEA7"
"121",96,"GS-10-0.2-","JASMINE7"
"122",100,"GS-10-0.2-","AUCell7"
"123",37,"GS-10-0.2-","UCell7"
"124",7,"GS-10-0.2-","scPS7"
"125",98,"GS-10-0.2-","SCSE7"
"126",98,"GS-10-0.2-","AddModuleScore7"
"127",21,"GS-10-0.2-","ssGSEA8"
"128",96,"GS-10-0.2-","JASMINE8"
"129",98,"GS-10-0.2-","AUCell8"
"130",44,"GS-10-0.2-","UCell8"
"131",7,"GS-10-0.2-","scPS8"
"132",99,"GS-10-0.2-","SCSE8"
"133",100,"GS-10-0.2-","AddModuleScore8"
"134",10,"GS-10-0.2-","ssGSEA9"
"135",98,"GS-10-0.2-","JASMINE9"
"136",99,"GS-10-0.2-","AUCell9"
"137",22,"GS-10-0.2-","UCell9"
"138",7,"GS-10-0.2-","scPS9"
"139",100,"GS-10-0.2-","SCSE9"
"140",100,"GS-10-0.2-","AddModuleScore9"
"141",62,"GS-10-0.5-","ssGSEA"
"142",89,"GS-10-0.5-","JASMINE"
"143",96,"GS-10-0.5-","AUCell"
"144",46,"GS-10-0.5-","UCell"
"145",15,"GS-10-0.5-","scPS"
"146",95,"GS-10-0.5-","SCSE"
"147",96,"GS-10-0.5-","AddModuleScore"
"148",53,"GS-10-0.5-","ssGSEA1"
"149",94,"GS-10-0.5-","JASMINE1"
"150",95,"GS-10-0.5-","AUCell1"
"151",43,"GS-10-0.5-","UCell1"
"152",14,"GS-10-0.5-","scPS1"
"153",96,"GS-10-0.5-","SCSE1"
"154",97,"GS-10-0.5-","AddModuleScore1"
"155",54,"GS-10-0.5-","ssGSEA2"
"156",92,"GS-10-0.5-","JASMINE2"
"157",95,"GS-10-0.5-","AUCell2"
"158",49,"GS-10-0.5-","UCell2"
"159",14,"GS-10-0.5-","scPS2"
"160",96,"GS-10-0.5-","SCSE2"
"161",94,"GS-10-0.5-","AddModuleScore2"
