"","GS-10-0-","GS-10-0.2-","GS-10-0.5-","GS-10-0.8-","GS-10-1-","GS-20-0-","GS-20-0.2-","GS-20-0.5-","GS-20-0.8-","GS-20-1-","GS-30-0-","GS-30-0.2-","GS-30-0.5-","GS-30-0.8-","GS-30-1-","GS-40-0-","GS-40-0.2-","GS-40-0.5-","GS-40-0.8-","GS-40-1-","GS-50-0-","GS-50-0.2-","GS-50-0.5-","GS-50-0.8-","GS-50-1-","GS-100-0-","GS-100-0.2-","GS-100-0.5-","GS-100-0.8-","GS-100-1-","GS-200-0-","GS-200-0.2-","GS-200-0.5-","GS-200-0.8-","GS-200-1-","GS-300-0-","GS-300-0.2-","GS-300-0.5-","GS-300-0.8-","GS-300-1-","GS-400-0-","GS-400-0.2-","GS-400-0.5-","GS-400-0.8-","GS-400-1-","GS-500-0-","GS-500-0.2-","GS-500-0.5-","GS-500-0.8-","GS-500-1-"
"ssGSEA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASMINE",70,51,24,0,3,89,79,58,10,4,100,96,70,22,3,100,97,89,20,12,100,100,93,30,22,100,100,99,49,38,100,100,100,81,73,100,100,100,92,88,100,100,100,100,96,100,100,100,100,98
"AUCell",40,25,17,2,3,61,49,30,8,7,87,76,44,14,5,91,84,53,9,17,99,94,69,16,18,100,100,95,23,37,100,100,100,40,72,100,100,100,74,88,100,100,100,87,97,100,100,100,94,100
"UCell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"scPS",87,69,50,26,3,95,91,82,40,4,99,99,91,54,1,100,100,97,66,3,100,100,98,71,5,100,99,100,88,4,100,100,100,100,1,100,100,100,100,1,100,100,100,100,3,100,100,100,100,1
"SCSE",12,16,10,2,1,27,16,12,8,2,41,35,18,9,0,54,44,23,6,5,60,46,27,3,7,96,79,53,11,10,100,99,87,18,16,100,100,95,34,25,100,100,99,52,39,100,100,100,37,36
"AddModuleScore",8,10,11,11,3,14,23,14,10,2,13,39,29,7,1,14,57,46,12,1,11,73,66,14,1,18,100,99,37,3,32,100,100,68,1,42,100,100,92,3,59,100,100,99,3,77,100,100,100,1
"ssGSEA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASMINE1",65,51,20,7,1,88,82,55,9,7,99,95,76,25,4,100,100,87,21,17,99,100,98,35,16,100,100,100,51,30,100,100,100,76,48,100,100,100,95,88,100,100,100,98,91,100,100,100,100,98
"AUCell1",37,34,17,9,2,60,60,38,6,6,83,78,44,17,5,93,87,53,18,10,96,92,72,26,19,100,100,97,31,42,100,100,100,53,55,100,100,100,84,83,100,100,100,91,93,100,100,100,96,100
