"","count","geneset","methods"
"1",0,"GS-10-0-","ssGSEA"
"2",70,"GS-10-0-","JASMINE"
"3",40,"GS-10-0-","AUCell"
"4",0,"GS-10-0-","UCell"
"5",87,"GS-10-0-","scPS"
"6",12,"GS-10-0-","SCSE"
"7",8,"GS-10-0-","AddModuleScore"
"8",0,"GS-10-0-","ssGSEA1"
"9",65,"GS-10-0-","JASMINE1"
"10",37,"GS-10-0-","AUCell1"
"11",0,"GS-10-0-","UCell1"
"12",86,"GS-10-0-","scPS1"
"13",7,"GS-10-0-","SCSE1"
"14",10,"GS-10-0-","AddModuleScore1"
"15",0,"GS-10-0-","ssGSEA2"
"16",73,"GS-10-0-","JASMINE2"
"17",44,"GS-10-0-","AUCell2"
"18",7,"GS-10-0-","UCell2"
"19",87,"GS-10-0-","scPS2"
"20",7,"GS-10-0-","SCSE2"
"21",7,"GS-10-0-","AddModuleScore2"
"22",0,"GS-10-0-","ssGSEA3"
"23",50,"GS-10-0-","JASMINE3"
"24",27,"GS-10-0-","AUCell3"
"25",0,"GS-10-0-","UCell3"
"26",69,"GS-10-0-","scPS3"
"27",30,"GS-10-0-","SCSE3"
"28",12,"GS-10-0-","AddModuleScore3"
"29",0,"GS-10-0-","ssGSEA4"
"30",76,"GS-10-0-","JASMINE4"
"31",46,"GS-10-0-","AUCell4"
"32",0,"GS-10-0-","UCell4"
"33",82,"GS-10-0-","scPS4"
"34",16,"GS-10-0-","SCSE4"
"35",14,"GS-10-0-","AddModuleScore4"
"36",0,"GS-10-0-","ssGSEA5"
"37",58,"GS-10-0-","JASMINE5"
"38",34,"GS-10-0-","AUCell5"
"39",0,"GS-10-0-","UCell5"
"40",70,"GS-10-0-","scPS5"
"41",22,"GS-10-0-","SCSE5"
"42",12,"GS-10-0-","AddModuleScore5"
"43",0,"GS-10-0-","ssGSEA6"
"44",49,"GS-10-0-","JASMINE6"
"45",27,"GS-10-0-","AUCell6"
"46",0,"GS-10-0-","UCell6"
"47",75,"GS-10-0-","scPS6"
"48",14,"GS-10-0-","SCSE6"
"49",10,"GS-10-0-","AddModuleScore6"
"50",0,"GS-10-0-","ssGSEA7"
"51",66,"GS-10-0-","JASMINE7"
"52",40,"GS-10-0-","AUCell7"
"53",0,"GS-10-0-","UCell7"
"54",84,"GS-10-0-","scPS7"
"55",31,"GS-10-0-","SCSE7"
"56",12,"GS-10-0-","AddModuleScore7"
"57",0,"GS-10-0-","ssGSEA8"
"58",58,"GS-10-0-","JASMINE8"
"59",30,"GS-10-0-","AUCell8"
"60",0,"GS-10-0-","UCell8"
"61",78,"GS-10-0-","scPS8"
"62",30,"GS-10-0-","SCSE8"
"63",12,"GS-10-0-","AddModuleScore8"
"64",0,"GS-10-0-","ssGSEA9"
"65",65,"GS-10-0-","JASMINE9"
"66",34,"GS-10-0-","AUCell9"
"67",0,"GS-10-0-","UCell9"
"68",88,"GS-10-0-","scPS9"
"69",16,"GS-10-0-","SCSE9"
"70",5,"GS-10-0-","AddModuleScore9"
"71",0,"GS-10-0.2-","ssGSEA"
"72",51,"GS-10-0.2-","JASMINE"
"73",25,"GS-10-0.2-","AUCell"
"74",0,"GS-10-0.2-","UCell"
"75",69,"GS-10-0.2-","scPS"
"76",16,"GS-10-0.2-","SCSE"
"77",10,"GS-10-0.2-","AddModuleScore"
"78",0,"GS-10-0.2-","ssGSEA1"
"79",51,"GS-10-0.2-","JASMINE1"
"80",34,"GS-10-0.2-","AUCell1"
"81",0,"GS-10-0.2-","UCell1"
"82",79,"GS-10-0.2-","scPS1"
"83",10,"GS-10-0.2-","SCSE1"
"84",16,"GS-10-0.2-","AddModuleScore1"
"85",0,"GS-10-0.2-","ssGSEA2"
"86",55,"GS-10-0.2-","JASMINE2"
"87",35,"GS-10-0.2-","AUCell2"
"88",13,"GS-10-0.2-","UCell2"
"89",76,"GS-10-0.2-","scPS2"
"90",9,"GS-10-0.2-","SCSE2"
"91",15,"GS-10-0.2-","AddModuleScore2"
"92",0,"GS-10-0.2-","ssGSEA3"
"93",39,"GS-10-0.2-","JASMINE3"
"94",27,"GS-10-0.2-","AUCell3"
"95",0,"GS-10-0.2-","UCell3"
"96",66,"GS-10-0.2-","scPS3"
"97",32,"GS-10-0.2-","SCSE3"
"98",14,"GS-10-0.2-","AddModuleScore3"
"99",0,"GS-10-0.2-","ssGSEA4"
"100",55,"GS-10-0.2-","JASMINE4"
"101",38,"GS-10-0.2-","AUCell4"
"102",0,"GS-10-0.2-","UCell4"
"103",79,"GS-10-0.2-","scPS4"
"104",12,"GS-10-0.2-","SCSE4"
"105",9,"GS-10-0.2-","AddModuleScore4"
"106",0,"GS-10-0.2-","ssGSEA5"
"107",46,"GS-10-0.2-","JASMINE5"
"108",23,"GS-10-0.2-","AUCell5"
"109",0,"GS-10-0.2-","UCell5"
"110",65,"GS-10-0.2-","scPS5"
"111",24,"GS-10-0.2-","SCSE5"
"112",8,"GS-10-0.2-","AddModuleScore5"
"113",0,"GS-10-0.2-","ssGSEA6"
"114",39,"GS-10-0.2-","JASMINE6"
"115",24,"GS-10-0.2-","AUCell6"
"116",0,"GS-10-0.2-","UCell6"
"117",71,"GS-10-0.2-","scPS6"
"118",15,"GS-10-0.2-","SCSE6"
"119",10,"GS-10-0.2-","AddModuleScore6"
"120",0,"GS-10-0.2-","ssGSEA7"
"121",51,"GS-10-0.2-","JASMINE7"
"122",30,"GS-10-0.2-","AUCell7"
"123",0,"GS-10-0.2-","UCell7"
"124",71,"GS-10-0.2-","scPS7"
"125",23,"GS-10-0.2-","SCSE7"
"126",18,"GS-10-0.2-","AddModuleScore7"
"127",0,"GS-10-0.2-","ssGSEA8"
"128",43,"GS-10-0.2-","JASMINE8"
"129",19,"GS-10-0.2-","AUCell8"
"130",0,"GS-10-0.2-","UCell8"
"131",74,"GS-10-0.2-","scPS8"
"132",19,"GS-10-0.2-","SCSE8"
"133",13,"GS-10-0.2-","AddModuleScore8"
"134",0,"GS-10-0.2-","ssGSEA9"
"135",48,"GS-10-0.2-","JASMINE9"
"136",26,"GS-10-0.2-","AUCell9"
"137",0,"GS-10-0.2-","UCell9"
"138",78,"GS-10-0.2-","scPS9"
"139",15,"GS-10-0.2-","SCSE9"
"140",9,"GS-10-0.2-","AddModuleScore9"
"141",0,"GS-10-0.5-","ssGSEA"
"142",24,"GS-10-0.5-","JASMINE"
"143",17,"GS-10-0.5-","AUCell"
"144",0,"GS-10-0.5-","UCell"
"145",50,"GS-10-0.5-","scPS"
"146",10,"GS-10-0.5-","SCSE"
"147",11,"GS-10-0.5-","AddModuleScore"
"148",0,"GS-10-0.5-","ssGSEA1"
"149",20,"GS-10-0.5-","JASMINE1"
"150",17,"GS-10-0.5-","AUCell1"
"151",0,"GS-10-0.5-","UCell1"
"152",56,"GS-10-0.5-","scPS1"
"153",8,"GS-10-0.5-","SCSE1"
"154",15,"GS-10-0.5-","AddModuleScore1"
"155",0,"GS-10-0.5-","ssGSEA2"
"156",23,"GS-10-0.5-","JASMINE2"
"157",25,"GS-10-0.5-","AUCell2"
"158",7,"GS-10-0.5-","UCell2"
"159",70,"GS-10-0.5-","scPS2"
"160",4,"GS-10-0.5-","SCSE2"
"161",9,"GS-10-0.5-","AddModuleScore2"
"162",0,"GS-10-0.5-","ssGSEA3"
"163",16,"GS-10-0.5-","JASMINE3"
"164",11,"GS-10-0.5-","AUCell3"
"165",0,"GS-10-0.5-","UCell3"
"166",50,"GS-10-0.5-","scPS3"
"167",12,"GS-10-0.5-","SCSE3"
"168",10,"GS-10-0.5-","AddModuleScore3"
"169",0,"GS-10-0.5-","ssGSEA4"
"170",22,"GS-10-0.5-","JASMINE4"
"171",14,"GS-10-0.5-","AUCell4"
"172",0,"GS-10-0.5-","UCell4"
"173",59,"GS-10-0.5-","scPS4"
"174",4,"GS-10-0.5-","SCSE4"
"175",7,"GS-10-0.5-","AddModuleScore4"
"176",0,"GS-10-0.5-","ssGSEA5"
"177",21,"GS-10-0.5-","JASMINE5"
"178",12,"GS-10-0.5-","AUCell5"
"179",0,"GS-10-0.5-","UCell5"
"180",43,"GS-10-0.5-","scPS5"
"181",12,"GS-10-0.5-","SCSE5"
"182",10,"GS-10-0.5-","AddModuleScore5"
"183",0,"GS-10-0.5-","ssGSEA6"
"184",23,"GS-10-0.5-","JASMINE6"
"185",19,"GS-10-0.5-","AUCell6"
"186",0,"GS-10-0.5-","UCell6"
"187",58,"GS-10-0.5-","scPS6"
"188",9,"GS-10-0.5-","SCSE6"
"189",8,"GS-10-0.5-","AddModuleScore6"
"190",0,"GS-10-0.5-","ssGSEA7"
"191",18,"GS-10-0.5-","JASMINE7"
"192",10,"GS-10-0.5-","AUCell7"
"193",0,"GS-10-0.5-","UCell7"
"194",51,"GS-10-0.5-","scPS7"
