"","count","geneset","methods"
"1",8,"GS-10-0-","ssGSEA"
"2",100,"GS-10-0-","JASMINE"
"3",100,"GS-10-0-","AUCell"
"4",93,"GS-10-0-","UCell"
"5",100,"GS-10-0-","scPS"
"6",82,"GS-10-0-","SCSE"
"7",41,"GS-10-0-","AddModuleScore"
"8",0,"GS-10-0-","ssGSEA1"
"9",100,"GS-10-0-","JASMINE1"
"10",100,"GS-10-0-","AUCell1"
"11",73,"GS-10-0-","UCell1"
"12",100,"GS-10-0-","scPS1"
"13",92,"GS-10-0-","SCSE1"
"14",37,"GS-10-0-","AddModuleScore1"
"15",0,"GS-10-0-","ssGSEA2"
"16",100,"GS-10-0-","JASMINE2"
"17",100,"GS-10-0-","AUCell2"
"18",86,"GS-10-0-","UCell2"
"19",100,"GS-10-0-","scPS2"
"20",85,"GS-10-0-","SCSE2"
"21",48,"GS-10-0-","AddModuleScore2"
"22",5,"GS-10-0-","ssGSEA3"
"23",100,"GS-10-0-","JASMINE3"
"24",100,"GS-10-0-","AUCell3"
"25",86,"GS-10-0-","UCell3"
"26",99,"GS-10-0-","scPS3"
"27",75,"GS-10-0-","SCSE3"
"28",48,"GS-10-0-","AddModuleScore3"
"29",0,"GS-10-0-","ssGSEA4"
"30",100,"GS-10-0-","JASMINE4"
"31",100,"GS-10-0-","AUCell4"
"32",76,"GS-10-0-","UCell4"
"33",100,"GS-10-0-","scPS4"
"34",90,"GS-10-0-","SCSE4"
"35",45,"GS-10-0-","AddModuleScore4"
"36",0,"GS-10-0-","ssGSEA5"
"37",100,"GS-10-0-","JASMINE5"
"38",100,"GS-10-0-","AUCell5"
"39",86,"GS-10-0-","UCell5"
"40",100,"GS-10-0-","scPS5"
"41",80,"GS-10-0-","SCSE5"
"42",39,"GS-10-0-","AddModuleScore5"
"43",0,"GS-10-0-","ssGSEA6"
"44",100,"GS-10-0-","JASMINE6"
"45",100,"GS-10-0-","AUCell6"
"46",86,"GS-10-0-","UCell6"
"47",100,"GS-10-0-","scPS6"
"48",85,"GS-10-0-","SCSE6"
