"","GS-10-0-","GS-10-0.2-","GS-10-0.5-","GS-10-0.8-","GS-10-1-","GS-20-0-","GS-20-0.2-","GS-20-0.5-","GS-20-0.8-","GS-20-1-","GS-30-0-","GS-30-0.2-","GS-30-0.5-","GS-30-0.8-","GS-30-1-","GS-40-0-","GS-40-0.2-","GS-40-0.5-","GS-40-0.8-","GS-40-1-","GS-50-0-","GS-50-0.2-","GS-50-0.5-","GS-50-0.8-","GS-50-1-","GS-100-0-","GS-100-0.2-","GS-100-0.5-","GS-100-0.8-","GS-100-1-","GS-200-0-","GS-200-0.2-","GS-200-0.5-","GS-200-0.8-","GS-200-1-","GS-300-0-","GS-300-0.2-","GS-300-0.5-","GS-300-0.8-","GS-300-1-","GS-400-0-","GS-400-0.2-","GS-400-0.5-","GS-400-0.8-","GS-400-1-","GS-500-0-","GS-500-0.2-","GS-500-0.5-","GS-500-0.8-","GS-500-1-"
"ssGSEA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASMINE",68,54,36,16,9,97,92,67,36,8,99,100,95,34,12,100,100,94,44,17,100,100,98,54,16,100,100,100,85,22,100,100,100,100,55,100,100,100,100,70,100,100,100,100,85,100,100,100,100,95
"AUCell",82,70,44,15,4,99,97,76,34,8,100,99,97,37,8,100,100,95,38,10,100,100,99,46,5,100,100,100,78,16,100,100,100,94,25,100,100,100,100,40,100,100,100,100,48,100,100,100,100,68
"UCell",54,39,21,11,3,80,69,34,21,3,94,76,43,13,2,96,78,49,7,1,98,90,52,18,4,100,97,72,21,7,100,100,94,37,7,100,100,100,49,4,100,100,100,59,2,100,100,100,70,5
"scPS",32,20,13,10,3,50,44,22,15,2,66,47,31,8,2,80,69,44,16,3,86,75,46,18,5,100,97,75,32,9,100,100,96,52,8,100,100,100,68,3,100,100,99,77,6,100,100,100,80,7
"SCSE",17,8,9,8,1,39,29,15,7,3,47,31,19,5,2,71,56,25,7,1,78,63,28,10,4,97,92,49,6,3,100,100,87,20,5,100,100,96,32,3,100,100,97,33,6,100,100,100,38,5
"AddModuleScore",9,10,8,9,3,31,21,15,8,3,43,27,19,5,1,62,53,23,8,0,73,58,27,12,3,97,89,44,7,2,100,100,84,21,4,100,100,96,34,2,100,100,97,38,6,100,100,100,36,5
"ssGSEA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASMINE1",60,43,31,11,8,96,88,62,26,11,100,98,78,33,12,100,100,94,42,15,100,100,97,53,9,100,100,100,84,18,100,100,100,98,49,100,100,100,100,72,100,100,100,100,84,100,100,100,100,96
"AUCell1",77,61,38,16,4,97,92,62,24,9,100,99,81,24,11,100,100,86,33,12,100,100,96,43,8,100,100,100,62,12,100,100,100,89,25,100,100,100,97,40,100,100,100,100,46,100,100,100,100,63
