"","count","geneset","methods"
"1",0,"GS-10-0-","ssGSEA"
"2",68,"GS-10-0-","JASMINE"
"3",82,"GS-10-0-","AUCell"
"4",54,"GS-10-0-","UCell"
"5",32,"GS-10-0-","scPS"
"6",17,"GS-10-0-","SCSE"
"7",9,"GS-10-0-","AddModuleScore"
"8",0,"GS-10-0-","ssGSEA1"
"9",60,"GS-10-0-","JASMINE1"
"10",77,"GS-10-0-","AUCell1"
"11",44,"GS-10-0-","UCell1"
"12",36,"GS-10-0-","scPS1"
"13",30,"GS-10-0-","SCSE1"
"14",30,"GS-10-0-","AddModuleScore1"
"15",0,"GS-10-0-","ssGSEA2"
"16",60,"GS-10-0-","JASMINE2"
"17",79,"GS-10-0-","AUCell2"
"18",41,"GS-10-0-","UCell2"
"19",29,"GS-10-0-","scPS2"
"20",19,"GS-10-0-","SCSE2"
"21",13,"GS-10-0-","AddModuleScore2"
"22",0,"GS-10-0-","ssGSEA3"
"23",78,"GS-10-0-","JASMINE3"
"24",94,"GS-10-0-","AUCell3"
"25",68,"GS-10-0-","UCell3"
"26",49,"GS-10-0-","scPS3"
"27",33,"GS-10-0-","SCSE3"
"28",26,"GS-10-0-","AddModuleScore3"
"29",0,"GS-10-0-","ssGSEA4"
"30",64,"GS-10-0-","JASMINE4"
"31",80,"GS-10-0-","AUCell4"
"32",45,"GS-10-0-","UCell4"
"33",33,"GS-10-0-","scPS4"
"34",25,"GS-10-0-","SCSE4"
"35",20,"GS-10-0-","AddModuleScore4"
"36",3,"GS-10-0-","ssGSEA5"
"37",66,"GS-10-0-","JASMINE5"
"38",83,"GS-10-0-","AUCell5"
"39",50,"GS-10-0-","UCell5"
"40",34,"GS-10-0-","scPS5"
"41",21,"GS-10-0-","SCSE5"
"42",15,"GS-10-0-","AddModuleScore5"
"43",0,"GS-10-0-","ssGSEA6"
"44",69,"GS-10-0-","JASMINE6"
"45",90,"GS-10-0-","AUCell6"
"46",47,"GS-10-0-","UCell6"
"47",37,"GS-10-0-","scPS6"
"48",32,"GS-10-0-","SCSE6"
"49",28,"GS-10-0-","AddModuleScore6"
"50",0,"GS-10-0-","ssGSEA7"
"51",69,"GS-10-0-","JASMINE7"
"52",85,"GS-10-0-","AUCell7"
"53",45,"GS-10-0-","UCell7"
"54",29,"GS-10-0-","scPS7"
"55",12,"GS-10-0-","SCSE7"
"56",9,"GS-10-0-","AddModuleScore7"
"57",0,"GS-10-0-","ssGSEA8"
"58",60,"GS-10-0-","JASMINE8"
"59",80,"GS-10-0-","AUCell8"
"60",52,"GS-10-0-","UCell8"
"61",36,"GS-10-0-","scPS8"
"62",30,"GS-10-0-","SCSE8"
"63",24,"GS-10-0-","AddModuleScore8"
"64",0,"GS-10-0-","ssGSEA9"
"65",57,"GS-10-0-","JASMINE9"
"66",69,"GS-10-0-","AUCell9"
"67",44,"GS-10-0-","UCell9"
"68",40,"GS-10-0-","scPS9"
"69",33,"GS-10-0-","SCSE9"
"70",33,"GS-10-0-","AddModuleScore9"
"71",0,"GS-10-0.2-","ssGSEA"
"72",54,"GS-10-0.2-","JASMINE"
"73",70,"GS-10-0.2-","AUCell"
"74",39,"GS-10-0.2-","UCell"
"75",20,"GS-10-0.2-","scPS"
"76",8,"GS-10-0.2-","SCSE"
"77",10,"GS-10-0.2-","AddModuleScore"
"78",0,"GS-10-0.2-","ssGSEA1"
"79",43,"GS-10-0.2-","JASMINE1"
"80",61,"GS-10-0.2-","AUCell1"
"81",33,"GS-10-0.2-","UCell1"
