"","count","geneset","methods"
"1",0,"GS-10-0-","ssGSEA"
"2",29,"GS-10-0-","JASMINE"
"3",30,"GS-10-0-","AUCell"
"4",25,"GS-10-0-","UCell"
"5",26,"GS-10-0-","scPS"
"6",25,"GS-10-0-","SCSE"
"7",24,"GS-10-0-","AddModuleScore"
"8",1,"GS-10-0-","ssGSEA1"
"9",35,"GS-10-0-","JASMINE1"
"10",36,"GS-10-0-","AUCell1"
"11",32,"GS-10-0-","UCell1"
"12",33,"GS-10-0-","scPS1"
"13",28,"GS-10-0-","SCSE1"
"14",24,"GS-10-0-","AddModuleScore1"
"15",0,"GS-10-0-","ssGSEA2"
"16",33,"GS-10-0-","JASMINE2"
"17",24,"GS-10-0-","AUCell2"
"18",27,"GS-10-0-","UCell2"
"19",26,"GS-10-0-","scPS2"
"20",25,"GS-10-0-","SCSE2"
"21",15,"GS-10-0-","AddModuleScore2"
"22",0,"GS-10-0-","ssGSEA3"
"23",22,"GS-10-0-","JASMINE3"
"24",23,"GS-10-0-","AUCell3"
"25",20,"GS-10-0-","UCell3"
"26",20,"GS-10-0-","scPS3"
"27",20,"GS-10-0-","SCSE3"
"28",22,"GS-10-0-","AddModuleScore3"
"29",0,"GS-10-0-","ssGSEA4"
"30",34,"GS-10-0-","JASMINE4"
"31",34,"GS-10-0-","AUCell4"
"32",19,"GS-10-0-","UCell4"
"33",23,"GS-10-0-","scPS4"
"34",22,"GS-10-0-","SCSE4"
"35",18,"GS-10-0-","AddModuleScore4"
"36",0,"GS-10-0-","ssGSEA5"
"37",14,"GS-10-0-","JASMINE5"
"38",15,"GS-10-0-","AUCell5"
"39",9,"GS-10-0-","UCell5"
"40",10,"GS-10-0-","scPS5"
"41",8,"GS-10-0-","SCSE5"
"42",7,"GS-10-0-","AddModuleScore5"
"43",0,"GS-10-0-","ssGSEA6"
"44",35,"GS-10-0-","JASMINE6"
"45",31,"GS-10-0-","AUCell6"
"46",28,"GS-10-0-","UCell6"
"47",29,"GS-10-0-","scPS6"
"48",25,"GS-10-0-","SCSE6"
"49",24,"GS-10-0-","AddModuleScore6"
"50",0,"GS-10-0-","ssGSEA7"
"51",25,"GS-10-0-","JASMINE7"
"52",21,"GS-10-0-","AUCell7"
"53",20,"GS-10-0-","UCell7"
"54",20,"GS-10-0-","scPS7"
"55",18,"GS-10-0-","SCSE7"
"56",17,"GS-10-0-","AddModuleScore7"
"57",0,"GS-10-0-","ssGSEA8"
"58",27,"GS-10-0-","JASMINE8"
"59",29,"GS-10-0-","AUCell8"
"60",23,"GS-10-0-","UCell8"
"61",25,"GS-10-0-","scPS8"
"62",23,"GS-10-0-","SCSE8"
"63",21,"GS-10-0-","AddModuleScore8"
"64",0,"GS-10-0-","ssGSEA9"
"65",32,"GS-10-0-","JASMINE9"
"66",30,"GS-10-0-","AUCell9"
"67",22,"GS-10-0-","UCell9"
"68",22,"GS-10-0-","scPS9"
"69",20,"GS-10-0-","SCSE9"
"70",21,"GS-10-0-","AddModuleScore9"
"71",0,"GS-10-0.2-","ssGSEA"
"72",21,"GS-10-0.2-","JASMINE"
"73",21,"GS-10-0.2-","AUCell"
"74",15,"GS-10-0.2-","UCell"
"75",17,"GS-10-0.2-","scPS"
"76",16,"GS-10-0.2-","SCSE"
"77",14,"GS-10-0.2-","AddModuleScore"
"78",0,"GS-10-0.2-","ssGSEA1"
"79",26,"GS-10-0.2-","JASMINE1"
"80",26,"GS-10-0.2-","AUCell1"
"81",23,"GS-10-0.2-","UCell1"
"82",25,"GS-10-0.2-","scPS1"
"83",24,"GS-10-0.2-","SCSE1"
"84",24,"GS-10-0.2-","AddModuleScore1"
"85",0,"GS-10-0.2-","ssGSEA2"
"86",22,"GS-10-0.2-","JASMINE2"
"87",18,"GS-10-0.2-","AUCell2"
"88",19,"GS-10-0.2-","UCell2"
"89",19,"GS-10-0.2-","scPS2"
"90",17,"GS-10-0.2-","SCSE2"
"91",16,"GS-10-0.2-","AddModuleScore2"
"92",0,"GS-10-0.2-","ssGSEA3"
"93",19,"GS-10-0.2-","JASMINE3"
"94",20,"GS-10-0.2-","AUCell3"
"95",17,"GS-10-0.2-","UCell3"
"96",18,"GS-10-0.2-","scPS3"
"97",18,"GS-10-0.2-","SCSE3"
"98",17,"GS-10-0.2-","AddModuleScore3"
"99",0,"GS-10-0.2-","ssGSEA4"
"100",21,"GS-10-0.2-","JASMINE4"
"101",25,"GS-10-0.2-","AUCell4"
"102",13,"GS-10-0.2-","UCell4"
"103",15,"GS-10-0.2-","scPS4"
"104",14,"GS-10-0.2-","SCSE4"
"105",15,"GS-10-0.2-","AddModuleScore4"
"106",0,"GS-10-0.2-","ssGSEA5"
"107",14,"GS-10-0.2-","JASMINE5"
"108",12,"GS-10-0.2-","AUCell5"
"109",10,"GS-10-0.2-","UCell5"
"110",11,"GS-10-0.2-","scPS5"
"111",10,"GS-10-0.2-","SCSE5"
"112",7,"GS-10-0.2-","AddModuleScore5"
"113",0,"GS-10-0.2-","ssGSEA6"
"114",31,"GS-10-0.2-","JASMINE6"
"115",31,"GS-10-0.2-","AUCell6"
"116",24,"GS-10-0.2-","UCell6"
"117",25,"GS-10-0.2-","scPS6"
"118",22,"GS-10-0.2-","SCSE6"
"119",22,"GS-10-0.2-","AddModuleScore6"
"120",0,"GS-10-0.2-","ssGSEA7"
"121",19,"GS-10-0.2-","JASMINE7"
"122",20,"GS-10-0.2-","AUCell7"
"123",16,"GS-10-0.2-","UCell7"
"124",18,"GS-10-0.2-","scPS7"
"125",14,"GS-10-0.2-","SCSE7"
"126",15,"GS-10-0.2-","AddModuleScore7"
"127",0,"GS-10-0.2-","ssGSEA8"
"128",22,"GS-10-0.2-","JASMINE8"
"129",22,"GS-10-0.2-","AUCell8"
"130",15,"GS-10-0.2-","UCell8"
"131",17,"GS-10-0.2-","scPS8"
"132",17,"GS-10-0.2-","SCSE8"
"133",16,"GS-10-0.2-","AddModuleScore8"
"134",0,"GS-10-0.2-","ssGSEA9"
"135",21,"GS-10-0.2-","JASMINE9"
"136",18,"GS-10-0.2-","AUCell9"
"137",16,"GS-10-0.2-","UCell9"
"138",17,"GS-10-0.2-","scPS9"
"139",14,"GS-10-0.2-","SCSE9"
"140",14,"GS-10-0.2-","AddModuleScore9"
"141",0,"GS-10-0.5-","ssGSEA"
"142",9,"GS-10-0.5-","JASMINE"
"143",8,"GS-10-0.5-","AUCell"
