"","GS-10-0-","GS-10-0.2-","GS-10-0.5-","GS-10-0.8-","GS-10-1-","GS-20-0-","GS-20-0.2-","GS-20-0.5-","GS-20-0.8-","GS-20-1-","GS-30-0-","GS-30-0.2-","GS-30-0.5-","GS-30-0.8-","GS-30-1-","GS-40-0-","GS-40-0.2-","GS-40-0.5-","GS-40-0.8-","GS-40-1-","GS-50-0-","GS-50-0.2-","GS-50-0.5-","GS-50-0.8-","GS-50-1-","GS-100-0-","GS-100-0.2-","GS-100-0.5-","GS-100-0.8-","GS-100-1-","GS-200-0-","GS-200-0.2-","GS-200-0.5-","GS-200-0.8-","GS-200-1-","GS-300-0-","GS-300-0.2-","GS-300-0.5-","GS-300-0.8-","GS-300-1-","GS-400-0-","GS-400-0.2-","GS-400-0.5-","GS-400-0.8-","GS-400-1-","GS-500-0-","GS-500-0.2-","GS-500-0.5-","GS-500-0.8-","GS-500-1-"
"ssGSEA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASMINE",100,97,83,17,4,100,100,100,56,13,100,100,100,66,20,100,100,100,73,27,100,100,100,90,40,100,100,100,99,76,100,100,100,100,98,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"AUCell",80,64,47,9,5,99,94,80,25,7,100,100,91,38,11,100,100,95,34,9,100,100,98,54,13,100,100,100,81,40,100,100,100,96,76,100,100,100,100,91,100,100,100,100,97,100,100,100,100,99
"UCell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"scPS",100,97,92,64,3,100,100,100,91,6,100,100,100,90,3,100,100,100,90,5,100,100,100,99,1,100,100,100,100,2,100,100,100,100,3,100,100,100,100,5,100,100,100,100,1,100,100,100,100,0
"SCSE",59,49,39,21,4,87,83,62,23,7,100,92,72,27,7,97,98,87,29,6,100,99,90,46,7,100,100,100,60,28,100,100,100,89,52,100,100,100,99,78,100,100,100,100,84,100,100,100,100,95
"AddModuleScore",32,36,43,45,7,47,67,50,29,5,77,86,74,31,2,80,97,90,46,5,93,100,95,55,2,100,100,100,85,5,100,100,100,100,4,100,100,100,100,7,100,100,100,100,2,100,100,100,100,7
"ssGSEA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASMINE1",100,96,88,27,5,100,100,100,49,3,100,100,100,68,14,100,100,100,77,18,100,100,100,93,28,100,100,100,100,70,100,100,100,100,94,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"AUCell1",94,86,67,21,4,100,100,90,32,8,100,100,98,48,11,100,100,100,58,17,100,100,100,71,22,100,100,100,93,56,100,100,100,100,87,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100
"UCell1",44,34,23,15,2,55,46,21,17,0,65,59,44,18,3,83,75,43,20,2,86,78,48,25,3,97,98,82,28,1,100,99,97,56,2,100,100,98,67,0,100,100,100,69,1,100,100,100,79,0
"scPS1",100,100,96,71,2,100,100,100,88,3,100,100,100,95,6,100,100,100,98,7,100,100,100,100,5,100,100,100,100,5,100,100,100,100,9,99,100,100,100,2,100,100,100,100,7,99,100,100,100,10
"SCSE1",57,50,28,23,4,89,79,46,19,0,97,94,71,24,6,100,99,81,28,6,100,100,82,44,7,100,100,100,59,16,100,100,100,90,39,100,100,100,99,74,100,100,100,100,73,100,100,100,100,85
"AddModuleScore1",39,30,33,50,7,57,67,51,32,1,80,95,87,40,5,94,99,95,48,2,98,100,100,71,5,100,100,100,97,2,100,100,100,100,4,100,100,100,100,4,100,100,100,100,6,100,100,100,100,2
"ssGSEA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASMINE2",100,98,84,27,5,100,100,98,47,9,100,100,100,64,13,100,100,100,75,23,100,100,100,75,26,100,100,100,97,69,100,100,100,100,95,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100
"AUCell2",92,83,58,16,4,100,99,86,37,10,100,100,97,47,12,100,100,99,60,25,100,100,100,60,25,100,100,100,91,68,100,100,100,100,93,100,100,100,100,98,100,100,100,100,98,100,100,100,100,100
"UCell2",51,47,23,12,3,58,49,39,20,5,77,73,40,22,4,82,80,52,24,0,90,80,55,20,5,99,100,87,40,2,100,100,97,51,1,100,100,100,74,1,100,100,100,69,2,100,100,100,77,1
"scPS2",97,99,87,53,3,100,100,97,85,5,100,100,100,93,5,100,100,100,100,3,100,100,100,99,6,100,100,100,100,10,100,100,100,100,14,100,100,100,100,11,100,100,100,100,15,100,100,100,100,10
"SCSE2",53,44,16,11,4,87,69,47,17,6,91,91,56,20,4,95,90,71,28,9,100,98,76,18,8,100,100,98,49,17,100,100,100,69,52,100,100,100,93,57,100,100,100,95,71,100,100,100,98,85
"AddModuleScore2",39,36,34,49,10,34,51,52,33,5,66,84,57,40,4,68,91,82,42,2,79,98,91,29,7,94,100,100,83,2,100,100,100,100,7,100,100,100,100,3,100,100,100,100,6,100,100,100,100,4
"ssGSEA3",9,6,5,1,11,14,9,9,5,3,21,15,9,5,2,34,24,12,0,3,33,28,12,4,1,61,49,29,17,2,81,71,43,17,2,93,86,69,20,8,99,96,76,26,5,100,100,80,25,3
"JASMINE3",100,100,81,26,3,100,100,99,47,5,100,100,100,77,8,100,100,100,77,18,100,100,100,85,25,100,100,100,100,61,100,100,100,100,93,100,100,100,100,99,100,100,100,100,99,100,100,100,100,100
"AUCell3",94,88,70,16,3,100,100,96,41,7,100,100,99,53,17,100,100,100,60,19,100,100,100,78,28,100,100,100,97,59,100,100,100,100,91,100,100,100,100,96,100,100,100,100,99,100,100,100,100,100
"UCell3",60,58,41,14,2,75,70,62,22,4,89,76,65,35,1,98,92,75,36,6,99,95,77,45,1,100,100,99,66,5,100,100,100,86,1,100,100,100,91,6,100,100,100,97,5,100,100,100,100,1
"scPS3",100,99,95,65,2,100,100,100,86,8,100,100,100,94,3,100,100,100,97,6,100,100,100,100,2,100,100,100,100,7,100,100,100,100,7,100,100,100,100,11,100,100,100,100,17,100,100,100,100,18
"SCSE3",56,48,38,12,2,80,72,61,18,4,94,90,70,26,2,100,97,80,31,7,100,99,88,39,5,100,100,99,68,18,100,100,100,87,39,100,100,100,92,53,100,100,100,98,70,100,100,100,99,76
"AddModuleScore3",38,43,44,45,13,55,71,59,45,4,72,95,86,39,4,92,100,96,46,8,96,100,100,56,2,99,100,100,93,4,100,100,100,100,3,100,100,100,100,7,100,100,100,100,4,100,100,100,100,5
"ssGSEA4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASMINE4",100,100,82,25,9,100,100,100,50,4,100,100,100,71,14,100,100,100,80,29,100,100,100,92,39,100,100,100,100,66,100,100,100,100,95,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100
"AUCell4",93,85,53,20,7,99,100,88,33,2,100,100,89,46,12,100,100,97,57,14,100,100,98,50,22,100,100,100,79,40,100,100,100,99,76,100,100,100,100,86,100,100,100,100,98,100,100,100,100,96
"UCell4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"scPS4",99,99,90,64,7,100,100,98,85,4,100,100,100,92,3,100,100,100,98,7,100,100,100,97,4,100,100,100,100,3,100,100,100,100,3,100,100,100,100,3,94,100,100,100,1,96,99,100,100,2
"SCSE4",73,69,37,25,7,93,83,62,25,3,99,96,75,30,9,100,99,89,42,8,100,100,89,35,12,100,100,100,65,24,100,100,100,88,49,100,100,100,99,70,100,100,100,100,87,100,100,100,100,87
"AddModuleScore4",44,45,32,47,6,56,65,60,40,1,80,98,79,40,4,87,100,88,48,5,94,100,95,44,4,100,100,100,93,4,100,100,100,100,5,100,100,100,100,4,100,100,100,100,2,100,100,100,100,3
"ssGSEA5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASMINE5",100,98,78,18,5,100,100,100,60,15,100,100,100,72,24,100,100,100,89,35,100,100,100,91,47,100,100,100,100,82,100,100,100,100,96,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100
"AUCell5",82,72,48,11,2,99,94,75,26,4,100,99,89,36,10,100,99,97,43,9,100,100,98,50,17,100,100,100,77,42,100,100,100,100,57,100,100,100,100,83,100,100,100,100,94,100,100,100,100,96
"UCell5",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"scPS5",98,98,95,54,3,100,100,99,85,3,100,100,100,89,7,100,100,100,96,2,100,100,100,99,2,100,100,100,100,4,100,100,100,100,3,100,100,100,100,3,100,100,100,100,2,98,100,100,100,1
"SCSE5",78,68,43,20,3,97,91,61,24,6,100,99,85,43,13,100,98,94,36,7,100,100,97,47,12,100,100,100,66,38,100,100,100,98,48,100,100,100,100,79,100,100,100,100,91,100,100,100,100,91
"AddModuleScore5",40,50,37,56,3,53,74,58,35,4,70,96,81,44,5,85,99,97,44,1,92,100,99,58,1,100,100,100,91,4,100,100,100,100,3,100,100,100,100,5,100,100,100,100,4,100,100,100,100,4
