"","GS-10-0-","GS-10-0.2-","GS-10-0.5-","GS-10-0.8-","GS-10-1-","GS-20-0-","GS-20-0.2-","GS-20-0.5-","GS-20-0.8-","GS-20-1-","GS-30-0-","GS-30-0.2-","GS-30-0.5-","GS-30-0.8-","GS-30-1-","GS-40-0-","GS-40-0.2-","GS-40-0.5-","GS-40-0.8-","GS-40-1-","GS-50-0-","GS-50-0.2-","GS-50-0.5-","GS-50-0.8-","GS-50-1-","GS-100-0-","GS-100-0.2-","GS-100-0.5-","GS-100-0.8-","GS-100-1-","GS-200-0-","GS-200-0.2-","GS-200-0.5-","GS-200-0.8-","GS-200-1-","GS-300-0-","GS-300-0.2-","GS-300-0.5-","GS-300-0.8-","GS-300-1-","GS-400-0-","GS-400-0.2-","GS-400-0.5-","GS-400-0.8-","GS-400-1-","GS-500-0-","GS-500-0.2-","GS-500-0.5-","GS-500-0.8-","GS-500-1-"
"ssGSEA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASMINE",100,100,100,93,46,100,100,100,97,84,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"AUCell",100,100,100,87,23,100,100,100,96,46,100,100,100,100,76,100,100,100,100,98,100,100,100,100,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"UCell",99,98,95,67,10,100,100,98,63,19,100,100,100,64,33,100,100,100,68,35,100,100,100,76,38,100,100,100,87,41,100,100,100,100,42,100,100,100,100,65,100,100,100,100,88,100,100,100,100,78
"scPS",100,100,100,88,3,100,100,100,100,4,100,100,100,100,5,100,100,100,100,2,100,100,100,100,3,99,100,100,100,0,94,96,100,100,2,96,100,100,100,3,99,98,100,100,2,100,97,100,100,3
"SCSE",100,98,80,45,6,100,100,98,59,15,100,100,100,79,31,100,100,100,87,32,100,100,100,92,45,100,100,100,100,79,100,100,100,100,98,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100
"AddModuleScore",64,64,49,68,5,71,87,78,57,2,82,97,98,59,4,96,100,100,70,1,99,100,100,76,4,100,100,100,100,0,100,100,100,100,6,100,100,100,100,11,100,100,100,100,9,100,100,100,100,8
"ssGSEA1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASMINE1",100,100,100,91,35,100,100,100,99,80,100,100,100,100,98,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"AUCell1",100,100,100,80,21,100,100,100,97,53,100,100,100,100,80,100,100,100,99,93,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
